id,name,popularity,genres,year
1KCSPY1glIKqW2TotWuXOR,P!nk,81,"['dance pop', 'pop']",2015
0EdvGhlC1FkGItLOWQzG4J,Sublime,73,"['rap rock', 'reggae fusion', 'ska mexicano', 'ska punk']",2015
6U3ybJ9UHNKEdsH7ktGBZ7,JID,77,"['hip hop', 'pop rap', 'rap', 'underground hip hop']",2015
6lcwlkAjBPSKnFBZjjZFJs,Alex G,76,"['philly indie', 'pov: indie', 'slacker rock']",2015
1Ffb6ejR6Fe5IamqA5oRUF,Bring Me The Horizon,80,"['melodic metalcore', 'metalcore', 'modern rock', 'rock', 'uk metalcore']",2015
20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,77,['pop'],2015
1r1uxoy19fzMxunt3ONAkG,Phoebe Bridgers,77,"['indie pop', 'la indie', 'pov: indie']",2015
0jnsk9HBra6NMjO2oANoPY,Flo Rida,80,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",2015
6yJCxee7QumYr820xdIsjo,Zac Brown Band,73,"['contemporary country', 'country', 'country road', 'modern country rock']",2015
77tT1kLj6mCWtFNqiOmP9H,Daryl Hall & John Oates,76,"['album rock', 'classic rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'yacht rock']",2015
3ipn9JLAPI5GUEo4y4jcoi,Ludacris,77,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2015
2IvkS5MXK0vPGnwyJsrEyV,Eric Church,73,"['contemporary country', 'country', 'country road']",2015
3YCKuqpv9nCsIhJ2v8SMix,Elevation Worship,75,"['ccm', 'christian music', 'worship']",2015
3jK9MiCrA42lLAdMGUZpwa,Anderson .Paak,78,"['escape room', 'hip hop', 'indie soul', 'neo soul']",2015
7jy3rLJdDQY21OgRLCZ9sD,Foo Fighters,78,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']",2015
23fqKkggKUBHNkbKtXEls4,Kygo,81,"['edm', 'pop', 'pop dance', 'tropical house']",2015
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,81,"['pop', 'post-teen pop']",2015
1z7b1Pr1rSlvWRzsW3HOrS,Russ,75,"['hawaiian hip hop', 'pop rap']",2015
3GBPw9NK25X1Wt2OUvOwY3,Jack Johnson,77,['neo mellow'],2015
4xRYI6VqpkE3UwrDrAZL8L,Logic,75,"['conscious hip hop', 'hip hop', 'pop rap', 'rap']",2015
329e4yvIujISKGKz1BZZbO,Farruko,82,"['reggaeton', 'trap latino', 'urbano latino']",2015
0C0XlULifJtAgn6ZNCW2eu,The Killers,78,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']",2015
3b8QkneNDz4JHKKKlLgYZg,Florida Georgia Line,74,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",2015
5me0Irg2ANcsgc93uaYrpb,The Notorious B.I.G.,77,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",2015
1sBkRIssrMs1AbVkOJbc7a,Rick Ross,76,"['dirty south rap', 'gangster rap', 'hip hop', 'rap', 'southern hip hop', 'trap']",2015
4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,80,"['electro', 'filter house', 'rock']",2015
2pAWfrd7WFF3XhVt9GooDL,MF DOOM,76,"['east coast hip hop', 'hip hop', 'instrumental hip hop', 'rap']",2015
17lzZA2AlOHwCwFALHttmp,2 Chainz,75,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2015
4iJLPqClelZOBCBifm8Fzv,Pierce The Veil,73,"['modern rock', 'pop punk', 'screamo']",2015
3YbOSxo85kla7RID8ugnW3,Los Temerarios,79,"['grupera', 'musica mexicana']",2015
2bA6fzP0lMAQ4kz6CF61w8,Toby Keith,72,"['classic oklahoma country', 'contemporary country', 'country', 'country road']",2015
1gPhS1zisyXr5dHTYZyiMe,Kevin Gates,72,"['baton rouge rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",2015
1qto4hHid1P71emI6Fd8xi,Aventura,80,"['bachata', 'bachata dominicana', 'latin hip hop', 'latin pop', 'tropical', 'urbano latino']",2015
