id,name,popularity,genres,year
06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,['pop'],2022
3TVXtAsR1Inumwj472S9r4,Drake,95,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",2022
40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,91,['classic oklahoma country'],2022
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,91,['contemporary country'],2022
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,92,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",2022
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,95,"['art pop', 'pop']",2022
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,92,"['chicago rap', 'hip hop', 'rap']",2022
7dGJo4pcD2V6oG8kP0tJRR,Eminem,93,"['detroit hip hop', 'hip hop', 'rap']",2022
1RyvyyTE3xzB2ZywiAwp0i,Future,91,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",2022
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,93,"['rap', 'slap house']",2022
7GlBOeep6PqTfFi59PTUUN,Chappell Roan,89,"['indie pop', 'pov: indie']",2022
246dkjvS1zLTtiykXe5h60,Post Malone,91,"['dfw rap', 'melodic rap', 'pop', 'rap']",2022
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,94,"['canadian contemporary r&b', 'canadian pop', 'pop']",2022
4q3ewBCX7sLwd24euuV69X,Bad Bunny,94,"['reggaeton', 'trap latino', 'urbano latino']",2022
718COspgdWOnwOFpJHRZHS,Luke Combs,87,"['contemporary country', 'country']",2022
0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,89,['rap'],2022
12GqGscKJx3aE4t07u7eVZ,Peso Pluma,92,"['corridos tumbados', 'sad sierreno']",2022
1VPmR4DJC1PlOtd0IADAO0,$uicideboy$,86,"['cloud rap', 'dark trap', 'new orleans rap', 'underground hip hop']",2022
7tYKF4w9nC0nq9CsPZTHyP,SZA,89,"['pop', 'r&b', 'rap']",2022
1URnnhqYAYcrqrcwql10ft,21 Savage,88,"['atl hip hop', 'hip hop', 'rap']",2022
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,90,['pop'],2022
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,91,"['art pop', 'pop']",2022
25uiPmTg16RbhZWAqwLBy5,Charli xcx,88,"['art pop', 'candy pop', 'metropopolis', 'pop', 'uk pop']",2022
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,90,"['barbadian pop', 'pop', 'urban contemporary']",2022
2RQXRUsr4IW1f3mKyKsy4B,Noah Kahan,85,['pov: indie'],2022
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,86,"['chicago rap', 'melodic rap', 'rap']",2022
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,91,['pop'],2022
5f7VJjfbwm532GiveGC0ZK,Lil Baby,86,"['atl hip hop', 'atl trap', 'rap', 'trap']",2022
55Aa2cqylxrFIXC767Z865,Lil Wayne,85,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",2022
