id,name,artist_id,year,popularity,release_date,energy,danceability,instrumentalness,loudness,tempo,valence
7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),4V8LLVI7PbaPR0K2TGSxFF,2017,89,2017-07-21,0.559,0.558,7.49e-06,-9.222,78.558,0.62
1mMLMZYXkMueg65jRRWG1l,When It Rains It Pours,718COspgdWOnwOFpJHRZHS,2017,84,2017-06-02,0.801,0.551,6.03e-06,-5.069,128.027,0.625
6me7F0aaZjwDo6RJ5MrfBD,Evergreen,4qU7IJSReZnsLy5907Mtau,2017,89,2017-05-17,0.216,0.555,0.00416,-11.661,79.109,0.504
7sO5G9EABYOXQKNPNiE9NR,Ric Flair Drip (with Metro Boomin),4DdkRBBYG6Yk9Ka8tdJ9BW,2017,85,2017-10-30,0.428,0.88,5.05e-05,-8.28,100.007,0.333
3EaJDYHA0KnX88JvDhL9oa,Dark Red,57vWImR43h4CaDao012Ofp,2017,86,2017-02-20,0.784,0.603,8.32e-06,-4.023,172.041,0.769
7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,2YZyLoL8N0Wb9xBt1NhZWg,2017,85,2017-04-14,0.621,0.908,5.39e-05,-6.638,150.011,0.421
5TXDeTFVRVY7Cvt0Dw4vWW,Revenge,15UsOTVnJzReFVN1VCnxy4,2017,86,2017-08-25,0.251,0.746,0.00203,-16.169,139.999,0.18
2tgQaL85WoRfgEa4hFQgrE,Feathered Indians,13ZEDW6vyBF12HYcZRr4EV,2017,79,2017-08-04,0.574,0.536,0.00277,-6.705,87.194,0.877
7AQim7LbvFVZJE3O8TYgf2,Fuck Love,15UsOTVnJzReFVN1VCnxy4,2017,84,2017-08-25,0.533,0.797,0.000152,-9.74,131.036,0.329
0yc6Gst2xkRu0eMLeRMGCX,Apocalypse,1QAJqy2dA3ihHBFIHRphZj,2017,87,2017-06-09,0.468,0.369,0.566,-9.013,94.434,0.18
6IZvVAP7VPPnsGX6bvgkqg,PRIDE.,2YZyLoL8N0Wb9xBt1NhZWg,2017,83,2017-04-14,0.535,0.665,1.68e-05,-7.056,138.842,0.37
2fXwCWkh6YG5zU1IyvQrbs,Broken Clocks,7tYKF4w9nC0nq9CsPZTHyP,2017,82,2017-06-09,0.684,0.692,0.0,-7.364,112.912,0.406
6PGoSes0D9eUDeeAafB2As,LOVE. FEAT. ZACARI.,2YZyLoL8N0Wb9xBt1NhZWg,2017,83,2017-04-14,0.585,0.8,0.0,-7.343,126.058,0.779
06gD2ZtK3Dzc1BYqWExQJJ,Broken Halos,4YLtscXsxbVgi031ovDDdh,2017,79,2017-05-05,0.564,0.613,1.65e-06,-7.085,78.388,0.538
4sNG6zQBmtq7M8aeeKJRMQ,Brazil,2D4FOOOtWycb3Aw9nY5n3c,2017,83,2017-04-13,0.617,0.687,1.27e-05,-5.213,121.079,0.665
0uxSUdBrJy9Un0EYoBowng,20 Min,4O15NlyKLIASxsJ0PrXPfz,2017,82,2017-11-17,0.75,0.773,0.0,-4.009,123.426,0.783
7GX5flRQZVHRAGd6B4TmDO,XO Tour Llif3,4O15NlyKLIASxsJ0PrXPfz,2017,82,2017-08-25,0.75,0.732,0.0,-6.366,155.096,0.401
6xHI9KjUjYT0FPtGO8Mxa1,Hurricane,718COspgdWOnwOFpJHRZHS,2017,79,2017-06-02,0.813,0.464,0.0,-6.185,75.977,0.515
6RUKPb4LETWmmr3iAEQktW,Something Just Like This,69GGBxA162lTqCwzJG5jLp,2017,88,2017-04-07,0.635,0.617,1.44e-05,-6.769,103.019,0.446
3B54sVLJ402zGa6Xm4YGNe,Unforgettable,6vXTefBL93Dj5IqAWq6OTv,2017,87,2017-07-14,0.769,0.726,0.0101,-5.043,97.985,0.733
2R4AlwtrrkMaRKojcTIzmL,For the First Time,3Sz7ZnJQBIHsXLUSo0OQtM,2017,81,2017-05-05,0.529,0.551,0.0093,-10.469,75.515,0.521
1R0a2iXumgCiFb7HEZ7gUE,Don’t Blame Me,06HL4z0CvFAxyc27GXpf02,2017,85,2017-11-10,0.534,0.615,1.76e-05,-6.719,135.917,0.193
4a2uqVlpRChHj32EjJLu7G,Nose On The Grindstone (OurVinyl Sessions),13ZEDW6vyBF12HYcZRr4EV,2017,77,2017-05-30,0.284,0.488,0.0,-11.039,149.952,0.398
1RMJOxR6GRPsBHL8qeC2ux,Best Part (feat. H.E.R.),20wkVLutqVOYrc0kxFs7rA,2017,84,2017-08-25,0.364,0.524,0.0,-10.209,75.24,0.436
7zFXmv6vqI4qOt4yGf3jYZ,Get You (feat. Kali Uchis),20wkVLutqVOYrc0kxFs7rA,2017,82,2017-08-25,0.294,0.658,5.2e-05,-8.533,74.038,0.358
4lH6nENd1y81jp7Yt9lTBX,Solo,1RyvyyTE3xzB2ZywiAwp0i,2017,80,2017-07-27,0.486,0.784,0.497,-6.497,110.964,0.0894
6HZILIRieu8S0iqY8kIKhj,DNA.,2YZyLoL8N0Wb9xBt1NhZWg,2017,80,2017-04-14,0.523,0.638,0.0,-6.664,139.913,0.422
