id,name,artist_id,year,popularity,release_date,energy,danceability,instrumentalness,loudness,tempo,valence
0mflMxspEfB0VbI1kyLiAv,Stick Season,2RQXRUsr4IW1f3mKyKsy4B,2022,90,2022-10-14,0.5,0.664,0.0,-6.935,117.896,0.801
3WMj8moIAXJhHsyLaqIIHI,Something in the Orange,40ZNYROS4zLfyyBSs2PGe2,2022,87,2022-04-22,0.192,0.369,8.35e-06,-12.151,175.212,0.148
1SjsVdSXpwm1kTdYEHoPIT,Sun to Me,40ZNYROS4zLfyyBSs2PGe2,2022,85,2022-05-20,0.27,0.505,0.0,-9.165,98.721,0.557
3qhlB30KknSejmIvZZLjOD,End of Beginning,5p9HO3XC5P3BLxJs5Mtrhm,2022,92,2022-09-16,0.454,0.689,0.00259,-7.643,159.982,0.912
0OWhKvvsHptt6vnnNUSM9a,Oklahoma Smokeshow,40ZNYROS4zLfyyBSs2PGe2,2022,83,2022-07-15,0.573,0.544,0.0,-5.694,122.977,0.233
6dgUya35uo964z7GZXM07g,Nonsense,74KM79TiuVKeVCqs8QtB0B,2022,88,2022-07-15,0.697,0.74,0.0,-4.912,138.992,0.732
5jfhLCSIFUO4ndzNRh4w4G,"Burn, Burn, Burn",40ZNYROS4zLfyyBSs2PGe2,2022,82,2022-09-08,0.296,0.508,5e-05,-10.513,82.532,0.134
4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,7tYKF4w9nC0nq9CsPZTHyP,2022,87,2022-12-09,0.551,0.559,0.0,-7.231,143.008,0.392
4Dvkj6JhhA12EX05fT7y2e,As It Was,6KImCVD70vtIoJWnq6nGn3,2022,91,2022-05-20,0.731,0.52,0.00101,-5.338,173.93,0.662
5MOWBRtP53q5yNOtHaMVTh,Deep Phase Noise 1,5qq6C4dNld3AWHbh2WaNAR,2022,85,2022-02-15,,,,,,
1xK59OXxi2TAAAbmZK0kBL,Romantic Homicide,5y8tKLUfMvliMe8IKamR32,2022,86,2022-07-20,0.544,0.571,0.00805,-10.613,132.052,0.216
43SoxERu5UlXAgt4Es1VQU,Porch Light,3EVsC9ZK7QMDuK4FPcZaEq,2022,80,2022-11-18,0.477,0.647,0.0,-8.264,142.034,0.477
1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,7tYKF4w9nC0nq9CsPZTHyP,2022,87,2022-12-08,0.735,0.644,0.144,-5.747,88.98,0.418
1HbzxLqpNVPdiBXvpC7Ovb,Wondering Why,6IKlXZEFOvk9itrP1s0knJ,2022,80,2022-04-29,0.209,0.524,0.0,-12.437,148.59,0.347
2HbpYFQbairMoU2YFyOP2x,Motorcycle Drive By,40ZNYROS4zLfyyBSs2PGe2,2022,80,2022-07-15,0.682,0.655,0.0,-4.562,124.306,0.525
48UKTR66uUOT9LaUvooTNx,The Kind of Love We Make,718COspgdWOnwOFpJHRZHS,2022,80,2022-06-24,0.745,0.608,6.47e-06,-4.13,102.025,0.464
7ByxizhA4GgEf7Sxomxhze,All My Love,2RQXRUsr4IW1f3mKyKsy4B,2022,80,2022-10-14,0.665,0.666,0.0,-7.181,116.002,0.474
59nOXPmaKlBfGMDeOVGrIK,WAIT FOR U (feat. Drake & Tems),1RyvyyTE3xzB2ZywiAwp0i,2022,83,2022-04-29,0.642,0.463,0.0,-4.474,83.389,0.339
7qTaDOcld0VmBWXnkbUj45,Broadway Girls (feat. Morgan Wallen),3hcs9uc56yIGFCSy9leWe7,2022,79,2022-03-10,0.745,0.659,0.0,-3.599,74.967,0.54
6k07Z7rd9og1FvRJD2n9E8,From Austin,40ZNYROS4zLfyyBSs2PGe2,2022,78,2022-05-20,0.485,0.5,1.26e-06,-7.94,109.755,0.379
4k6Uh1HXdhtusDW5y8Gbvy,Bad Habit,57vWImR43h4CaDao012Ofp,2022,82,2022-07-15,0.494,0.686,5.8e-05,-7.093,168.946,0.7
5Y35SjAfXjjG0sFQ3KOxmm,Nobody Gets Me,7tYKF4w9nC0nq9CsPZTHyP,2022,86,2022-12-09,0.284,0.358,0.0,-8.285,99.796,0.276
0vjeOZ3Ft5jvAi9SBFJm1j,Superhero (Heroes & Villains) [with Future & Chris Brown],0iEtIxbK0KxaSlF7G42ZOp,2022,82,2022-12-02,0.583,0.709,2.97e-06,-5.298,116.624,0.533
2Hh3ETdQKrmSI3QS0hme7g,Too Many Nights (feat. Don Toliver & with Future),0iEtIxbK0KxaSlF7G42ZOp,2022,84,2022-12-02,0.668,0.573,4.01e-05,-4.356,87.973,0.145
4PMqSO5qyjpvzhlLI5GnID,Good Days,7tYKF4w9nC0nq9CsPZTHyP,2022,81,2022-12-09,0.651,0.461,1.26e-05,-8.81,121.07,0.383
