id,name,artist_id,year,popularity,release_date
3xKsf9qdS1CyvXSMEid6g8,Pink + White,2h93pZq0e7k5yf4dywlkpM,2016,88,2016-08-20
3IznIgmXtrUaoPWpQTy5jB,Not Allowed,0Y6dVaC9DZtPNH4591M42W,2016,85,2016-02-25
6QeYSvYqYUsfBzsApbjDHO,Cigarettes out the Window,0Y6dVaC9DZtPNH4591M42W,2016,84,2016-02-25
2ZWlPOoWh0626oTaHrnl2a,Ivy,2h93pZq0e7k5yf4dywlkpM,2016,83,2016-08-20
4KW1lqgSr8TKrvBII0Brf8,Father Stretch My Hands Pt. 1,5K4W6rqBFWDnAN6FQUkS6x,2016,84,2016-06-10
1zi7xx7UVEFkmKfv06H8x0,One Dance,3TVXtAsR1Inumwj472S9r4,2016,87,2016-05-06
4riDfclV7kPDT9D58FpmHd,Some,57vWImR43h4CaDao012Ofp,2016,82,2016-10-31
2LMkwUfqC6S6s6qDVlEuzV,White Ferrari,2h93pZq0e7k5yf4dywlkpM,2016,82,2016-08-20
6gBFPUFcJLzWGx4lenP6h2,goosebumps,0Y5tJX1MQlPlqiwlOH1tJY,2016,86,2016-09-16
7MXVkk9YMctZqd1Srtv4MB,Starboy,1Xyo4u8uXC1ZmMpatF05PJ,2016,89,2016-11-25
0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,0du5cEVh5yTK9QJze8zA0C,2016,86,2016-11-17
14AyWf6y7KlWWLfAjdKMKI,Ophelia,16oZKvXb6WkQlVAjwo2Wbg,2016,82,2016-04-08
5gDWsRxpJ2lZAffh5p7K0w,Stargirl Interlude,1Xyo4u8uXC1ZmMpatF05PJ,2016,83,2016-11-24
5NijSs5dAwaIybq1GaRTIe,Poison,3tlXnStJ1fFhdScmQeLpuG,2016,79,2016-08-03
2Co0IjcLTSHMtodwD4gzfg,I Bet on Losing Dogs,2uYWxilOVlUdk4oV9DvwqK,2016,82,2016-06-17
0WtDGnWL2KrMCk0mI1Gpwz,Redbone,73sIBHcqh3Z3NyqHKZ7FOL,2016,81,2016-12-02
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,4IWBUUAFIplrNtaOHcJPRM,2016,87,2016-10-28
4pAl7FkDMNBsjykPXo91B3,Needed Me,5pKCCKE2ajJHZ9KAiaK11H,2016,82,2016-01-28
0Z57YWES04xGh3AImDz6Qr,Real Love Baby,2kGBy2WHvF0VdZyqiVCkDT,2016,79,2016-07-26
0bPnT6i9H1p8Vd85GS6Z7I,Night Shift,4MoAOfV4ROWofLG3a3hhBN,2016,76,2016-05-13
5UGAXwbA17bUC0K9uquGY2,Antarctica,1VPmR4DJC1PlOtd0IADAO0,2016,77,2016-01-26
7eqoqGkKwgOaWNNHx90uEZ,Nights,2h93pZq0e7k5yf4dywlkpM,2016,79,2016-08-20
0azC730Exh71aQlOt9Zj3y,This Is What You Came For,7CajNmpbOovFoOoasH2HaY,2016,85,2016-04-29
7BKLCZ1jbUBVqRi2FVlTVw,Closer,69GGBxA162lTqCwzJG5jLp,2016,84,2016-07-29
2LBqCSwhJGcFQeTHMVGwy3,Die For You,1Xyo4u8uXC1ZmMpatF05PJ,2016,85,2016-11-24
3a1lNhkSLSkpJE4MSHpDu9,Congratulations,246dkjvS1zLTtiykXe5h60,2016,80,2016-12-09
7f08qp3HROTkfrtNpiYGGo,Dirt On My Boots,4MoAOfV4ROWofLG3a3hhBN,2016,75,2016-05-13
0y1QJc3SJVPKJ1OvFmFqe6,Way down We Go,7jdFEYD2LTYjfwxOdlVjmc,2016,84,2016-06-10
0w3Q14i073jLoew1hgJkwD,Heartache On The Dance Floor,4MoAOfV4ROWofLG3a3hhBN,2016,74,2016-05-13
4AFsRbaLKRWo3dDtjDFA2V,Me and Your Mama,73sIBHcqh3Z3NyqHKZ7FOL,2016,79,2016-12-02
4ly1QBXEwYoDmje9rmEgC4,Head Over Boots,4MoAOfV4ROWofLG3a3hhBN,2016,74,2016-05-13
