id,name,popularity,genres,year
6JMGrupbzJZ3yuQhTGyeHr,Year 200X,15,['scorecore'],2017
06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,['pop'],2017
3TVXtAsR1Inumwj472S9r4,Drake,95,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",2017
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,92,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",2017
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,95,"['art pop', 'pop']",2017
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,92,"['chicago rap', 'hip hop', 'rap']",2017
7dGJo4pcD2V6oG8kP0tJRR,Eminem,93,"['detroit hip hop', 'hip hop', 'rap']",2017
1RyvyyTE3xzB2ZywiAwp0i,Future,91,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",2017
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,93,"['rap', 'slap house']",2017
7GlBOeep6PqTfFi59PTUUN,Chappell Roan,89,"['indie pop', 'pov: indie']",2017
246dkjvS1zLTtiykXe5h60,Post Malone,91,"['dfw rap', 'melodic rap', 'pop', 'rap']",2017
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,94,"['canadian contemporary r&b', 'canadian pop', 'pop']",2017
4q3ewBCX7sLwd24euuV69X,Bad Bunny,94,"['reggaeton', 'trap latino', 'urbano latino']",2017
718COspgdWOnwOFpJHRZHS,Luke Combs,87,"['contemporary country', 'country']",2017
0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,89,['rap'],2017
1VPmR4DJC1PlOtd0IADAO0,$uicideboy$,86,"['cloud rap', 'dark trap', 'new orleans rap', 'underground hip hop']",2017
7tYKF4w9nC0nq9CsPZTHyP,SZA,89,"['pop', 'r&b', 'rap']",2017
1URnnhqYAYcrqrcwql10ft,21 Savage,88,"['atl hip hop', 'hip hop', 'rap']",2017
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,90,['pop'],2017
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,91,"['art pop', 'pop']",2017
25uiPmTg16RbhZWAqwLBy5,Charli xcx,88,"['art pop', 'candy pop', 'metropopolis', 'pop', 'uk pop']",2017
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,90,"['barbadian pop', 'pop', 'urban contemporary']",2017
2RQXRUsr4IW1f3mKyKsy4B,Noah Kahan,85,['pov: indie'],2017
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,91,['pop'],2017
2h93pZq0e7k5yf4dywlkpM,Frank Ocean,86,"['lgbtq+ hip hop', 'neo soul']",2017
5f7VJjfbwm532GiveGC0ZK,Lil Baby,86,"['atl hip hop', 'atl trap', 'rap', 'trap']",2017
55Aa2cqylxrFIXC767Z865,Lil Wayne,85,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",2017
15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,87,"['emo rap', 'miami hip hop', 'rap']",2017
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,85,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",2017
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,86,"['atl hip hop', 'melodic rap', 'rap', 'trap']",2017
790FomKkXshlbRYZFtlgla,KAROL G,91,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",2017
0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida,87,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']",2017
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",85,"['hip hop', 'rap']",2017
1McMsnEElThX1knmY4oliG,Olivia Rodrigo,87,['pop'],2017
699OTQXzgjhIYAHMy9RyPD,Playboi Carti,86,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']",2017
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,84,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",2017
2FXC3k01G6Gw61bmprjgqS,Hozier,86,"['irish singer-songwriter', 'modern rock', 'pop', 'pov: indie']",2017
7bXgB6jMjp9ATFy66eO08Z,Chris Brown,87,"['r&b', 'rap']",2017
7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign,86,"['hip hop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul']",2017
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,89,"['dance pop', 'pop']",2017
4YLtscXsxbVgi031ovDDdh,Chris Stapleton,82,"['contemporary country', 'outlaw country']",2017
4Gso3d4CscCijv0lmajZWs,Don Toliver,85,['rap'],2017
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,85,"['hip pop', 'pop', 'queens hip hop', 'rap']",2017
2LRoIwlKmHjgvigdNGBHNo,Feid,91,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",2017
3tlXnStJ1fFhdScmQeLpuG,Brent Faiyaz,83,"['r&b', 'rap']",2017
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,89,"['canadian pop', 'pop']",2017
7wlFDEWiM5OoIAt8RSli8b,YoungBoy Never Broke Again,81,"['baton rouge rap', 'rap']",2017
6vWDO969PvNqNYHIOW5v0m,Beyoncé,86,"['pop', 'r&b']",2017
3xvaSlT4xsyk6lY1ESOspO,Disney,84,[],2017
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,90,"['permanent wave', 'pop']",2017
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,89,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",2017
13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,84,"['east coast hip hop', 'hip hop', 'rap']",2017
19k8AgwwTSxeaxkOuCQEJs,Jelly Roll,81,"['country rap', 'nashville hip hop', 'tennessee hip hop']",2017
181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion,82,"['houston rap', 'pop', 'r&b', 'rap', 'trap queen']",2017
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,85,"['dance pop', 'pop']",2017
