id,name,artist_id,year,popularity,release_date
0zirWZTcXBBwGsevrsIpvT,Clean Baby Sleep White Noise (Loopable),6Cqtx9fpxzggIMuKn0RGCp,2020,93,2020-04-29
3FU6urUVsgXa6RBuV2PdRk,Heartless (feat. Morgan Wallen),5fMUXHkw8R8eOP2RNVYEZX,2020,82,2020-05-29
2UikqkwBv7aIvlixeVXHWt,You Should Probably Leave,4YLtscXsxbVgi031ovDDdh,2020,83,2020-11-13
3hxIUxnT27p5WcmjGUXNwx,Shut up My Moms Calling,35WVTyRnKAoaGExqgktVyb,2020,87,2020-02-10
3jHdKaLCkuNEkWcLVmQPCX,BEST INTEREST,4V8LLVI7PbaPR0K2TGSxFF,2020,82,2020-01-25
3USxtqRwSYz57Ewm6wWRMp,Heat Waves,4yvcSjfu4PC0CYQyLy4wSq,2020,87,2020-08-07
2QfX9Pdz3q66fN3kCXl0Js,Revival,40ZNYROS4zLfyyBSs2PGe2,2020,79,2020-05-08
3hUxzQpSfdDqwM3ZTFQY0K,august,06HL4z0CvFAxyc27GXpf02,2020,87,2020-07-24
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,1Xyo4u8uXC1ZmMpatF05PJ,2020,89,2020-03-20
6pcywuOeGGWeOQzdUyti6k,Glock In My Lap,1URnnhqYAYcrqrcwql10ft,2020,82,2020-10-02
0f8eRy9A0n6zXpKSHSCAEp,Infrunami,57vWImR43h4CaDao012Ofp,2020,81,2020-12-04
6J2LdBN97cDWn0MLxYh9HB,July,55fhWPvDiMpLnE4ZzNXZyW,2020,83,2020-05-15
5SWnsxjhdcEDc7LJjq9UHk,Runnin,1URnnhqYAYcrqrcwql10ft,2020,81,2020-10-02
2J6OF7CkpdQGSfm1wdclqn,Clouded,3tlXnStJ1fFhdScmQeLpuG,2020,79,2020-02-07
6tDDoYIxWvMLTdKpjFkc1B,telepatía,1U1el3k54VvEUzo3ybLPlM,2020,82,2020-12-04
