id,name,artist_id,year,popularity,release_date
698eQRku24PIYPQPHItKlA,She Got the Best of Me,718COspgdWOnwOFpJHRZHS,2018,83,2018-06-01
2rxQMGVafnNaRaXlRMWPde,Beautiful Crazy,718COspgdWOnwOFpJHRZHS,2018,82,2018-06-01
3GCdLUSnKSMJhs4Tj6CV3s,All The Stars (with SZA),2YZyLoL8N0Wb9xBt1NhZWg,2018,86,2018-02-09
7yNf9YjeO5JXUE3JEBgnYc,Babydoll,6USv9qhCn6zfxlBQIYJ9qs,2018,84,2018-10-16
57TEkZN3f84tFJFHFrD4pO,Whiskey Glasses,4oUHIQIBe0LHzYfvXNW4QM,2018,80,2018-04-27
2aPTvyE09vUCRwVvj0I8WK,Sundress,13ubrt8QOOCPljQ2FL1Kca,2018,84,2018-11-20
0WiyWiJDkNCyGNqkv7NByy,Chasin' You,4oUHIQIBe0LHzYfvXNW4QM,2018,79,2018-04-27
19MkwMrRjO7773zpuGss1o,Shake the Frost (Live),13ZEDW6vyBF12HYcZRr4EV,2018,78,2018-06-29
39sDitIeCMrVX2QyXHY46t,Blue Hair,0Y6dVaC9DZtPNH4591M42W,2018,83,2018-05-08
2cYqizR4lgvp4Qu6IQ3qGN,BUTTERFLY EFFECT,0Y5tJX1MQlPlqiwlOH1tJY,2018,84,2018-08-03
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),6qqNVTkY8uBg9cP3Jd7DAH,2018,87,2018-04-19
7zwn1eykZtZ5LODrf7c0tS,You Get Me So High,77SW9BnxLY8rJ0RciFqkHh,2018,83,2018-11-02
2K7xn816oNHJZ0aVqdQsha,Softcore,77SW9BnxLY8rJ0RciFqkHh,2018,85,2018-11-02
285pBltuF7vW8TeWk8hdRR,Lucid Dreams,4MCBfE4596Uoi2O4DtmEMz,2018,83,2018-12-10
4VXIryQMWpIdGgYR4TrjT1,All Girls Are The Same,4MCBfE4596Uoi2O4DtmEMz,2018,82,2018-12-10
4jvjzW7Hm0yK4LvvE0Paz9,Falling Down - Bonus Track,2kCcBybjl3SAtIcwdWpUe3,2018,83,2018-11-09
3jjsRKEsF42ccXf8kWR3nu,Washing Machine Heart,2uYWxilOVlUdk4oV9DvwqK,2018,82,2018-08-17
50a8bKqlwDEqeiEknrzkTO,ball w/o you,1URnnhqYAYcrqrcwql10ft,2018,80,2018-12-21
2ZRo7axmMPeSVUvDbGkJah,Hope,15UsOTVnJzReFVN1VCnxy4,2018,83,2018-03-16
78QR3Wp35dqAhFEc2qAGjE,Drip Too Hard (Lil Baby & Gunna),5f7VJjfbwm532GiveGC0ZK,2018,80,2018-10-05
0JP9xo3adEtGSdUEISiszL,Moonlight,15UsOTVnJzReFVN1VCnxy4,2018,82,2018-03-16
75IQVo8hqI1iwVZyvkN2VT,Show Me How,3zmfs9cQwzJl575W1ZYXeT,2018,80,2018-02-28
6IPwKM3fUUzlElbvKw2sKl,we fell in love in october,3uwAm6vQy7kWPS2bciKWx9,2018,83,2018-11-21
577YBGuskWkVDCxZrLRB4v,Pure Cocaine,5f7VJjfbwm532GiveGC0ZK,2018,78,2018-11-30
0JIMT9gzLIIz0esKLyjbKf,Telephones,0U7iI0Dk4Ojvi17nZboNO4,2018,79,2018
6vN77lE9LK6HP2DewaN6HZ,Yes Indeed,5f7VJjfbwm532GiveGC0ZK,2018,78,2018-05-18
474uVhyGgK5MtY9gMcDgGl,It's Called: Freefall,4hz8tIajF2INpgM0qzPJz2,2018,78,2018-04-06
00RLNHc2jkEjUoCUlFgPVT,welcome and goodbye,0qZyvjwZauLmrobrpJmvib,2018,80,2018-03-31
7BqHUALzNBTanL6OvsqmC1,Happier,64KEffDW9EtZ1y2vBYgq8T,2018,83,2018-08-17
0qOCy2LqvdkMora7eZsJhQ,From the Subway Train,6ft7JnxMyZhp7N52qzHymY,2018,79,2018-04-26
3oDkdAySo1VQQG0ptV7uwa,Lean Wit Me,4MCBfE4596Uoi2O4DtmEMz,2018,77,2018-12-10
3s7MCdXyWmwjdcWh7GWXas,Violent Crimes,5K4W6rqBFWDnAN6FQUkS6x,2018,79,2018-06-01
2xql0pid3EUwW38AsywxhV,Reflections,77SW9BnxLY8rJ0RciFqkHh,2018,83,2018-11-02
3R6yNicsZrWF8ybl02imcB,Charleston Girl (Live),13ZEDW6vyBF12HYcZRr4EV,2018,74,2018-06-29
0uI7yAKUf52Cn7y3sYyjiX,3 Nights,6USv9qhCn6zfxlBQIYJ9qs,2018,79,2018-10-16
6rY5FAWxCdAGllYEOZMbjW,SLOW DANCING IN THE DARK,3MZsBdqDrRTJihTHQrO6Dq,2018,80,2018-10-26
2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,0Y5tJX1MQlPlqiwlOH1tJY,2018,83,2018-08-03
13xVnZKZDEGbmXkzBFpJDD,Silver Lining,69tiO1fG8VWduDl3ji2qhI,2018,76,2018-03-02
27a1mYSG5tYg7dmEjWBcmL,CAN'T SAY,0Y5tJX1MQlPlqiwlOH1tJY,2018,80,2018-08-03
7D7e6hm2LiNd6nLuJF6K9Q,Hex,4F9apzBcSE0OSfHYbxo4RF,2018,78,2018-03-12
0e7ipj03S05BNilyu5bRzt,rockstar (feat. 21 Savage),246dkjvS1zLTtiykXe5h60,2018,82,2018-04-27
09mEdoA6zrmBPgTEN5qXmN,Call Out My Name,1Xyo4u8uXC1ZmMpatF05PJ,2018,84,2018-03-30
1otG6j1WHNvl9WgXLWkHTo,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",1U1el3k54VvEUzo3ybLPlM,2018,79,2018-04-06
6LyAwkJsHlW7RQ8S1cYAtM,Overdue (with Travis Scott),0iEtIxbK0KxaSlF7G42ZOp,2018,79,2018-11-06
7ycWLEP1GsNjVvcjawXz3z,Praise The Lord (Da Shine) (feat. Skepta),13ubrt8QOOCPljQ2FL1Kca,2018,82,2018-05-25
3Ol2xnObFdKV9pmRD2t9x8,Look Back at It,31W5EY0aAly4Qieq6OFu6I,2018,76,2018-12-21
1fewSx2d5KIZ04wsooEBOz,Space Cadet (feat. Gunna),0iEtIxbK0KxaSlF7G42ZOp,2018,79,2018-11-06
2t8yVaLvJ0RenpXUIAC52d,a lot,1URnnhqYAYcrqrcwql10ft,2018,77,2018-12-21
1rqqCSm0Qe4I9rUvWncaom,High Hopes,20JZFwl6HVl6yg8a4H3ZqK,2018,80,2018-06-22
3ee8Jmje8o58CHK66QrVC2,SAD!,15UsOTVnJzReFVN1VCnxy4,2018,79,2018-03-16
0oufSLnKQDoBFX5mgkDCgR,Trust,3tlXnStJ1fFhdScmQeLpuG,2018,77,2018-10-19
7dt6x5M1jzdTEt8oCbisTK,Better Now,246dkjvS1zLTtiykXe5h60,2018,79,2018-04-27
6DCZcSspjsKoFjzjrWoCdn,God's Plan,3TVXtAsR1Inumwj472S9r4,2018,82,2018-06-29
3KkXRkHbMCARz0aVfEt68P,Sunflower - Spider-Man: Into the Spider-Verse,246dkjvS1zLTtiykXe5h60,2018,81,2018-12-14
2IRZnDFmlqMuOrYOLnZZyc,Going Bad (feat. Drake),20sxb77xiYeusSH8cVdatc,2018,77,2018-11-30
4gT3mNJA8lnlkYFqGZ8IA2,Small Worlds,4LLpKhyESsyAXpc4laK94U,2018,76,2018-08-03
2TXtN9MoV308Y0z1HvyTfV,You Make It Easy,3FfvYsEGaIb52QPXhg4DcH,2018,72,2018-04-13
7vgTNTaEz3CsBZ1N4YQalM,Ghost Town,5K4W6rqBFWDnAN6FQUkS6x,2018,76,2018-06-01
2iUXsYOEPhVqEBwsqP70rE,Youngblood,5Rl15oVamLq7FbSb0NNBNy,2018,80,2018-06-15
1xzBco0xcoJEDXktl7Jxrr,Mo Bamba,2RDOrhPqAM4jzTRCEb19qX,2018,76,2018-10-05
42fw0rxRO2xbesF6mJfd4Y,Tequila,7z5WFjZAIYejWy0NI5lv4T,2018,73,2018-06-22
5wujBwqG7INdStqGd4tRMX,Armed And Dangerous,4MCBfE4596Uoi2O4DtmEMz,2018,74,2018-12-10
2BJSMvOGABRxokHKB0OI8i,Shoota (feat. Lil Uzi Vert),699OTQXzgjhIYAHMy9RyPD,2018,75,2018-05-11
7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),7CajNmpbOovFoOoasH2HaY,2018,84,2018-04-06
1cKHdTo9u0ZymJdPGSh6nq,I Was Never There,1Xyo4u8uXC1ZmMpatF05PJ,2018,82,2018-03-30
0AluA5RNsa4Cx6XRhf2hWZ,10 Freaky Girls (with 21 Savage),0iEtIxbK0KxaSlF7G42ZOp,2018,75,2018-11-06
6ok4IyXcJQekEeSlBjcI9Y,The Way I Talk,4oUHIQIBe0LHzYfvXNW4QM,2018,72,2018-04-27
6gbiTbclnHlmSIPfmF2zEc,Gang Shit No Lame Shit,0RESbWvOMyua0yuyVrztJ5,2018,74,2018-11-23
5mIOsPuQdXchVY0jB5NO9Q,4EVER,3l0CmX0FuQjFxr8SK7Vqag,2018,74,2018-04-27
03ThZweiBWFP8tOGsk6QMO,Russian Cream,0RESbWvOMyua0yuyVrztJ5,2018,72,2018-02-02
3CA9pLiwRIGtUBiMjbZmRw,Nice For What,3TVXtAsR1Inumwj472S9r4,2018,76,2018-06-29
2OpBganfGk2GVdSlRdxzaX,Better,6LuN9FCkKOj5PcnpouEgny,2018,77,2018-10-19
2RfYofkWwN77WJjR1rpena,Up Down (feat. Florida Georgia Line),4oUHIQIBe0LHzYfvXNW4QM,2018,72,2018-04-27
1VJwtWR6z7SpZRwipI12be,Candy,5cj0lLjcoR7YOSnhnX0Po5,2018,79,2018-03-30
41cpvQ2GyGb2BRdIRSsTqK,Moon River,2h93pZq0e7k5yf4dywlkpM,2018,74,2018-02-14
7eBqSVxrzQZtK2mmgRG6lC,Murder on My Mind,1cNDP5yjU5vjeR8qMf4grg,2018,76,2018-08-03
2qxmye6gAegTMjLKEBoR3d,Let Me Down Slowly,5IH6FPUwQTxPSXurCrcIov,2018,82,2018-11-16
5bJ1DrEM4hNCafcDd1oxHx,Self Care,4LLpKhyESsyAXpc4laK94U,2018,74,2018-08-03
09IStsImFySgyp0pIQdqAc,The Middle,2qxJFvFYMEDqd7ui6kSAcq,2018,78,2018-01-23
