id,name,artist_id,year,popularity,release_date,energy,danceability,instrumentalness,loudness,tempo,valence
6XjDF6nds4DE2BBbagZol6,Gata Only,7CvTknweLr9feJtRGrpDBy,2024,95,2024-02-02,0.499,0.791,2.41e-05,-8.472,99.986,0.669
28drn6tQo95MRvO0jQEo5C,Type Shit,1RyvyyTE3xzB2ZywiAwp0i,2024,87,2024-03-22,0.552,0.64,0.0,-5.679,144.941,0.112
6WTFHKrnZpwEBLRS10Ylqs,misses,6USv9qhCn6zfxlBQIYJ9qs,2024,86,2024-05-03,0.509,0.578,0.734,-6.229,119.945,0.586
2HYFX63wP3otVIvopRS99Z,Houdini,7dGJo4pcD2V6oG8kP0tJRR,2024,90,2024-05-31,0.887,0.936,1.88e-06,-2.76,127.003,0.889
5uQ7de4EWjb3rkcFxyEOpu,Belong Together,11p2E654TTU8e0nZWBR4AL,2024,91,2024-02-16,0.668,0.646,0.0,-5.203,90.969,0.64
77DRzu7ERs0TX3roZcre7Q,euphoria,2YZyLoL8N0Wb9xBt1NhZWg,2024,85,2024-04-30,0.643,0.831,0.0,-5.002,139.948,0.142
5ZLL6wYXeqg0k35ZkDRfhZ,Pour Me A Drink (Feat. Blake Shelton),246dkjvS1zLTtiykXe5h60,2024,84,2024-06-21,0.904,0.577,0.0,-3.817,119.033,0.861
4Na2HfNSr58chvfX69fy36,one of wun,2hlmm7s2ICUX0LVIhVFlZQ,2024,85,2024-05-10,0.453,0.915,0.000163,-4.589,139.943,0.287
4pkb8SbRGeHAvdb87v9rpf,Miles On It,64KEffDW9EtZ1y2vBYgq8T,2024,85,2024-05-03,0.761,0.634,0.0,-4.752,129.963,0.785
51rfRCiUSvxXlCSCfIztBy,"I Love You, I'm Sorry",4tuJ0bMpJh08umKkEXKUI5,2024,86,2024-06-21,0.406,0.53,0.0,-7.507,115.94,0.338
4VQO1UdVIecQqB49PlANHz,It's Up (feat. Young Thug & 21 Savage),3TVXtAsR1Inumwj472S9r4,2024,79,2024-08-10,0.719,0.782,0.0,-4.863,139.941,0.304
2hrycoFU1mZw6YPvMcn8yC,KEHLANI,0jPHHnU8GUWEF7rwPE9osY,2024,88,2024-06-24,0.634,0.645,3.78e-06,-3.769,160.017,0.352
2GxrNKugF82CnoRFbQfzPf,i like the way you kiss me,0PCCGZ0wGLizHt2KZ7hhA2,2024,91,2024-03-19,0.946,0.599,0.0106,-4.263,151.647,0.747
22DH8NChecsgPxDjA4pqer,Tough,0VRj0yCOv2FXJNP47XQnx5,2024,88,2024-07-03,0.557,0.582,1.87e-05,-7.981,84.989,0.211
7iabz12vAuVQYyekFIWJxD,BAND4BAND (feat. Lil Baby),5H4yInM5zmHqpKIoMNAx4r,2024,89,2024-05-23,0.764,0.882,0.0,-5.241,140.113,0.886
6tNQ70jh4OwmPGpYy6R2o9,Beautiful Things,22wbnEMDvgVIAGdFeek6ET,2024,90,2024-01-18,0.471,0.472,0.0,-5.692,105.029,0.219
