id,name,artist_id,year,popularity,release_date,energy,danceability,instrumentalness,loudness,tempo,valence
3fqwjXwUGN6vbzIwvyFMhx,Tennessee Whiskey,4YLtscXsxbVgi031ovDDdh,2015,83,2015-05-04,0.37,0.392,0.0096,-10.888,48.718,0.512
3pXF1nA74528Edde4of9CC,Don't,2EMAnMvWE2eb56ToJVfCWs,2015,83,2015-10-02,0.356,0.765,0.0,-5.556,96.991,0.189
0QZ5yyl6B6utIWkxeBDxQN,The Night We Met,6ltzsmQQbmdoHHbLZ4ZN25,2015,78,2015-04-07,0.366,0.545,0.267,-9.51,86.997,0.1
6K4t31amVTZDgR3sKmwUJJ,The Less I Know The Better,5INjqkS1o8h1imAzPqGZBb,2015,85,2015-07-17,0.74,0.64,0.00678,-4.083,116.879,0.785
43PuMrRfbyyuz4QpZ3oAwN,Exchange,2EMAnMvWE2eb56ToJVfCWs,2015,81,2015-10-02,0.433,0.525,0.0,-10.598,160.108,0.276
6FBzhcfgGacfXF3AmtfEaX,C U Girl,57vWImR43h4CaDao012Ofp,2015,81,2015-02-15,0.473,0.414,0.0523,-8.911,100.0,0.409
5E30LdtzQTGqRvNd7l6kG5,Daddy Issues,77SW9BnxLY8rJ0RciFqkHh,2015,85,2015-10-30,0.521,0.588,0.149,-9.461,85.012,0.337
7fBv7CLKzipRk6EC6TWHOB,The Hills,1Xyo4u8uXC1ZmMpatF05PJ,2015,85,2015-08-28,0.564,0.585,0.0,-7.063,113.003,0.137
7H0ya83CMmgFcOhw0UB6ow,Space Song,56ZTgzPBDge0OvCGgMO3OY,2015,77,2015-08-28,0.792,0.508,0.124,-7.311,147.067,0.601
3iVcZ5G6tvkXZkZKlMpIUs,Alright,2YZyLoL8N0Wb9xBt1NhZWg,2015,80,2015-03-16,0.766,0.796,0.0,-5.974,110.034,0.558
1WbhIxkn5ECsOwUm795iX1,Star Shopping,2kCcBybjl3SAtIcwdWpUe3,2015,82,2015-08-17,0.471,0.538,0.0185,-9.84,93.07,0.307
2Z8WuEywRWYTKe1NybPQEW,Ride,3YQKmKGau1PzlVlkL1iodx,2015,84,2015-05-15,0.713,0.645,0.0,-5.355,74.989,0.566
3kQfBtkQqgN1fAMfhks8TU,Need 2,2gbT6GPXMis0OAkZbEQCYB,2015,78,2015-10-15,0.634,0.552,0.202,-8.302,76.557,0.213
5jROdl6MhcmP3O7h2sVgtw,Parachute,4YLtscXsxbVgi031ovDDdh,2015,76,2015-05-04,0.762,0.642,5.72e-05,-7.411,113.038,0.605
34oWbFBfGEElvgO0a5c9V4,No Flockin',46SHBwWsqBkxI7EeeBEQG7,2015,75,2015-11-13,0.595,0.943,0.0,-8.372,117.532,0.815
