id,name,artist_id,year,popularity,release_date
0mflMxspEfB0VbI1kyLiAv,Stick Season,2RQXRUsr4IW1f3mKyKsy4B,2022,90,2022-10-14
3WMj8moIAXJhHsyLaqIIHI,Something in the Orange,40ZNYROS4zLfyyBSs2PGe2,2022,87,2022-04-22
1SjsVdSXpwm1kTdYEHoPIT,Sun to Me,40ZNYROS4zLfyyBSs2PGe2,2022,85,2022-05-20
3qhlB30KknSejmIvZZLjOD,End of Beginning,5p9HO3XC5P3BLxJs5Mtrhm,2022,92,2022-09-16
0OWhKvvsHptt6vnnNUSM9a,Oklahoma Smokeshow,40ZNYROS4zLfyyBSs2PGe2,2022,83,2022-07-15
6dgUya35uo964z7GZXM07g,Nonsense,74KM79TiuVKeVCqs8QtB0B,2022,88,2022-07-15
5jfhLCSIFUO4ndzNRh4w4G,"Burn, Burn, Burn",40ZNYROS4zLfyyBSs2PGe2,2022,82,2022-09-08
4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,7tYKF4w9nC0nq9CsPZTHyP,2022,87,2022-12-09
4Dvkj6JhhA12EX05fT7y2e,As It Was,6KImCVD70vtIoJWnq6nGn3,2022,91,2022-05-20
5MOWBRtP53q5yNOtHaMVTh,Deep Phase Noise 1,5qq6C4dNld3AWHbh2WaNAR,2022,85,2022-02-15
1xK59OXxi2TAAAbmZK0kBL,Romantic Homicide,5y8tKLUfMvliMe8IKamR32,2022,86,2022-07-20
43SoxERu5UlXAgt4Es1VQU,Porch Light,3EVsC9ZK7QMDuK4FPcZaEq,2022,80,2022-11-18
1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,7tYKF4w9nC0nq9CsPZTHyP,2022,87,2022-12-08
1HbzxLqpNVPdiBXvpC7Ovb,Wondering Why,6IKlXZEFOvk9itrP1s0knJ,2022,80,2022-04-29
2HbpYFQbairMoU2YFyOP2x,Motorcycle Drive By,40ZNYROS4zLfyyBSs2PGe2,2022,80,2022-07-15
48UKTR66uUOT9LaUvooTNx,The Kind of Love We Make,718COspgdWOnwOFpJHRZHS,2022,80,2022-06-24
7ByxizhA4GgEf7Sxomxhze,All My Love,2RQXRUsr4IW1f3mKyKsy4B,2022,80,2022-10-14
59nOXPmaKlBfGMDeOVGrIK,WAIT FOR U (feat. Drake & Tems),1RyvyyTE3xzB2ZywiAwp0i,2022,83,2022-04-29
7qTaDOcld0VmBWXnkbUj45,Broadway Girls (feat. Morgan Wallen),3hcs9uc56yIGFCSy9leWe7,2022,79,2022-03-10
6k07Z7rd9og1FvRJD2n9E8,From Austin,40ZNYROS4zLfyyBSs2PGe2,2022,78,2022-05-20
4k6Uh1HXdhtusDW5y8Gbvy,Bad Habit,57vWImR43h4CaDao012Ofp,2022,82,2022-07-15
5Y35SjAfXjjG0sFQ3KOxmm,Nobody Gets Me,7tYKF4w9nC0nq9CsPZTHyP,2022,86,2022-12-09
0vjeOZ3Ft5jvAi9SBFJm1j,Superhero (Heroes & Villains) [with Future & Chris Brown],0iEtIxbK0KxaSlF7G42ZOp,2022,82,2022-12-02
2Hh3ETdQKrmSI3QS0hme7g,Too Many Nights (feat. Don Toliver & with Future),0iEtIxbK0KxaSlF7G42ZOp,2022,84,2022-12-02
4PMqSO5qyjpvzhlLI5GnID,Good Days,7tYKF4w9nC0nq9CsPZTHyP,2022,81,2022-12-09
1udwFobQ1JoOdWPQrp2b6u,Surround Sound (feat. 21 Savage & Baby Tate),6U3ybJ9UHNKEdsH7ktGBZ7,2022,81,2022-10-31
0j3mqDTK4Z6lvrLzFCUUz6,Good Looking,5GGJosGMs08YEmKTZJe1fL,2022,82,2022-08-18
67AdiJcurlf6gocGobfaXs,"Going, Going, Gone",718COspgdWOnwOFpJHRZHS,2022,77,2022-06-24
1qMMYpVatbRITKCfq1gasi,PUFFIN ON ZOOTIEZ,1RyvyyTE3xzB2ZywiAwp0i,2022,79,2022-04-29
0V3wPSX9ygBnCm8psDIegu,Anti-Hero,06HL4z0CvFAxyc27GXpf02,2022,84,2022-10-21
3F5CgOj3wFlRv51JsHbxhe,Jimmy Cooks (feat. 21 Savage),3TVXtAsR1Inumwj472S9r4,2022,82,2022-06-17
4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),1Cs0zKBU1kc0i8ypK3B9ai,2022,88,2022-08-26
32FhTAAjKZaBein150o3Px,because i liked a boy,74KM79TiuVKeVCqs8QtB0B,2022,82,2022-07-15
4O2rRsoSPb5aN7N3tG6Y3v,Northern Attitude,2RQXRUsr4IW1f3mKyKsy4B,2022,77,2022-10-14
6Sq7ltF9Qa7SNFBsV5Cogx,Me Porto Bonito,4q3ewBCX7sLwd24euuV69X,2022,84,2022-05-06
4h9wh7iOZ0GGn8QVp4RAOB,I Ain't Worried,5Pwc4xIPtQLFEnJriah9YJ,2022,84,2022-05-13
4OmfWzukSVD140NiAIEjem,Static,57vWImR43h4CaDao012Ofp,2022,80,2022-07-15
5wG3HvLhF6Y5KTGlK0IW3J,Trance (with Travis Scott & Young Thug),0iEtIxbK0KxaSlF7G42ZOp,2022,83,2022-12-02
4xF4ZBGPZKxECeDFrqSAG4,snowfall,0dgJbQ0bKPyUXco8hEXN7X,2022,84,2022-01-14
4KGGeE7RJsgLNZmnxGFlOj,Falling Behind,7gW0r5CkdEUMm42w9XpyZO,2022,79,2022-08-26
09riz9pAPJyYYDVynE5xxY,1000 Blunts,1VPmR4DJC1PlOtd0IADAO0,2022,76,2022-07-29
41P6Tnd8KIHqON0QIydx6a,the perfect pair,35l9BRT7MXmM8bv2WDQiyB,2022,78,2022-07-15
2L9N0zZnd37dwF0clgxMGI,ceilings,1GmsPCcpKgF9OhlNXjOsbS,2022,80,2022-04-08
2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),0iEtIxbK0KxaSlF7G42ZOp,2022,83,2022-12-02
53zCCom4uEoIBaOAEJtjUL,The Good I'll Do,40ZNYROS4zLfyyBSs2PGe2,2022,75,2022-05-20
1IHWl5LamUGEuP4ozKQSXZ,Tití Me Preguntó,4q3ewBCX7sLwd24euuV69X,2022,82,2022-05-06
3sYBFUXTv0STUoUINx9Qe8,Watermelon Moonshine,6tPHARSq45lQ8BSALCfkFC,2022,75,2022-11-28
3hEkAosl2ZuO9FltxY5L1R,Jersey Giant,1GERDglQrxe4ynLzcdG6qP,2022,74,2022-12-16
7ETjhPaIU4UmHOiimJBZz9,Your Heart Or Mine,4MoAOfV4ROWofLG3a3hhBN,2022,74,2022-09-02
3XgGQ1wjo5khvq2UImjyNF,ALL MINE,3tlXnStJ1fFhdScmQeLpuG,2022,76,2022-07-08
7KokYm8cMIXCsGVmUvKtqf,Karma,06HL4z0CvFAxyc27GXpf02,2022,80,2022-10-21
07UFnnK3uPIuKv5Rs9TmXl,Orange Juice,2RQXRUsr4IW1f3mKyKsy4B,2022,75,2022-10-14
4ObFZEXHQJcc8WQtqbCupZ,When Im Gone,5KfgJTNwvEbzMtJREyq9Jt,2022,74,2022-05-27
200x8ONbPfFzByUr3fVz46,She Had Me At Heads Carolina,1mfDfLsMxYcOOZkzBxvSVW,2022,74,2022-04-08
6pamafD9p0K7FHfJPz6TYF,Open the Gate,40ZNYROS4zLfyyBSs2PGe2,2022,73,2022-05-20
0fX4oNGBWO3dSGUZcVdVV2,N95,2YZyLoL8N0Wb9xBt1NhZWg,2022,78,2022-05-13
3GYlZ7tbxLOxe6ewMNVTkw,TV,6qqNVTkY8uBg9cP3Jd7DAH,2022,81,2022-07-21
6IyoLWzljeR3ldQo4KWHT6,Out thë way,3qiHUAX7zY4Qnjx8TNUzVx,2022,77,2022-09-09
