id,name,artist_id,year,popularity,release_date,energy,danceability,instrumentalness,loudness,tempo,valence
2Dct3GykKZ58hpWRFfe2Qd,Heading South,40ZNYROS4zLfyyBSs2PGe2,2019,86,2019-09-30,0.246,0.68,0.0,-14.112,110.23,0.388
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,06HL4z0CvFAxyc27GXpf02,2019,92,2019-08-23,0.702,0.552,2.06e-05,-5.707,169.994,0.564
7aEtlGHoiPAfRB084NiDmx,Beer Never Broke My Heart,718COspgdWOnwOFpJHRZHS,2019,81,2019-11-08,0.863,0.538,0.0,-4.483,77.001,0.637
0fCwTrRNfoNk962ati8n2K,All Your'n,13ZEDW6vyBF12HYcZRr4EV,2019,80,2019-08-02,0.55,0.585,3.97e-05,-7.342,78.176,0.839
7cA3PnUQDlUyBBwpRozQeo,One Man Band,6y8XlgIV8BLlIg1tT1R10i,2019,80,2019-10-25,0.358,0.706,0.0,-8.331,75.991,0.478
1aXV8GrmQLvgoFtBPERP7E,Jealous,3XxNRirzbjfLdDli06zMaB,2019,84,2019-12-06,0.921,0.474,0.85,-10.431,93.01,0.696
21jGcNKet2qwijlDFuPiPb,Circles,246dkjvS1zLTtiykXe5h60,2019,85,2019-09-06,0.763,0.695,0.00242,-3.497,120.042,0.551
5hVghJ4KaYES3BFUATCYn0,EARFQUAKE,4V8LLVI7PbaPR0K2TGSxFF,2019,82,2019-05-17,0.498,0.554,5.98e-06,-8.866,79.635,0.413
0RiRZpuVRbi7oqRdSMwhQY,Sunflower - Spider-Man: Into the Spider-Verse,246dkjvS1zLTtiykXe5h60,2019,84,2019-09-06,0.522,0.755,0.0,-4.368,89.96,0.925
1dGr1c8CrMLDpV6mPbImSI,Lover,06HL4z0CvFAxyc27GXpf02,2019,87,2019-08-23,0.543,0.359,1.58e-05,-7.582,68.534,0.453
7EAMXbLcL0qXmciM5SwMh2,Heart To Heart,3Sz7ZnJQBIHsXLUSo0OQtM,2019,82,2019-05-10,0.136,0.901,0.354,-16.127,150.076,0.643
6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,6KImCVD70vtIoJWnq6nGn3,2019,86,2019-12-13,0.816,0.548,0.0,-4.209,95.39,0.557
3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,0Y5tJX1MQlPlqiwlOH1tJY,2019,85,2019-10-04,0.427,0.598,5.83e-06,-8.764,76.469,0.0605
