id,name,artist_id,year,popularity,release_date,energy,danceability,instrumentalness,loudness,tempo,valence
698eQRku24PIYPQPHItKlA,She Got the Best of Me,718COspgdWOnwOFpJHRZHS,2018,83,2018-06-01,0.907,0.533,0.0,-3.793,150.99,0.7
2rxQMGVafnNaRaXlRMWPde,Beautiful Crazy,718COspgdWOnwOFpJHRZHS,2018,82,2018-06-01,0.402,0.551,0.0,-7.431,103.313,0.382
3GCdLUSnKSMJhs4Tj6CV3s,All The Stars (with SZA),2YZyLoL8N0Wb9xBt1NhZWg,2018,86,2018-02-09,0.633,0.695,0.000195,-4.946,96.782,0.557
7yNf9YjeO5JXUE3JEBgnYc,Babydoll,6USv9qhCn6zfxlBQIYJ9qs,2018,84,2018-10-16,0.604,0.762,0.0,-5.296,168.007,0.847
57TEkZN3f84tFJFHFrD4pO,Whiskey Glasses,4oUHIQIBe0LHzYfvXNW4QM,2018,80,2018-04-27,0.68,0.616,1.18e-06,-4.581,149.951,0.687
2aPTvyE09vUCRwVvj0I8WK,Sundress,13ubrt8QOOCPljQ2FL1Kca,2018,84,2018-11-20,0.707,0.721,3.68e-06,-6.364,125.005,0.743
0WiyWiJDkNCyGNqkv7NByy,Chasin' You,4oUHIQIBe0LHzYfvXNW4QM,2018,79,2018-04-27,0.591,0.631,0.0,-5.806,97.087,0.494
19MkwMrRjO7773zpuGss1o,Shake the Frost (Live),13ZEDW6vyBF12HYcZRr4EV,2018,78,2018-06-29,0.341,0.447,2.05e-06,-9.769,138.969,0.371
39sDitIeCMrVX2QyXHY46t,Blue Hair,0Y6dVaC9DZtPNH4591M42W,2018,83,2018-05-08,0.72,0.751,0.0497,-6.376,135.73,0.884
2cYqizR4lgvp4Qu6IQ3qGN,BUTTERFLY EFFECT,0Y5tJX1MQlPlqiwlOH1tJY,2018,84,2018-08-03,0.628,0.763,0.0,-5.85,140.958,0.193
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),6qqNVTkY8uBg9cP3Jd7DAH,2018,87,2018-04-19,0.296,0.351,0.0,-10.109,115.284,0.12
7zwn1eykZtZ5LODrf7c0tS,You Get Me So High,77SW9BnxLY8rJ0RciFqkHh,2018,83,2018-11-02,0.881,0.551,0.0791,-6.099,88.036,0.387
2K7xn816oNHJZ0aVqdQsha,Softcore,77SW9BnxLY8rJ0RciFqkHh,2018,85,2018-11-02,0.568,0.575,0.000417,-5.509,93.986,0.37
285pBltuF7vW8TeWk8hdRR,Lucid Dreams,4MCBfE4596Uoi2O4DtmEMz,2018,83,2018-12-10,0.566,0.511,0.0,-7.23,83.903,0.218
4VXIryQMWpIdGgYR4TrjT1,All Girls Are The Same,4MCBfE4596Uoi2O4DtmEMz,2018,82,2018-12-10,0.529,0.671,0.000335,-7.226,161.989,0.203
4jvjzW7Hm0yK4LvvE0Paz9,Falling Down - Bonus Track,2kCcBybjl3SAtIcwdWpUe3,2018,83,2018-11-09,0.574,0.669,0.00294,-6.442,120.013,0.273
3jjsRKEsF42ccXf8kWR3nu,Washing Machine Heart,2uYWxilOVlUdk4oV9DvwqK,2018,82,2018-08-17,0.822,0.613,0.506,-4.087,105.997,0.567
50a8bKqlwDEqeiEknrzkTO,ball w/o you,1URnnhqYAYcrqrcwql10ft,2018,80,2018-12-21,0.633,0.892,0.000189,-7.471,137.994,0.459
2ZRo7axmMPeSVUvDbGkJah,Hope,15UsOTVnJzReFVN1VCnxy4,2018,83,2018-03-16,0.457,0.592,0.000331,-6.081,146.04,0.225
78QR3Wp35dqAhFEc2qAGjE,Drip Too Hard (Lil Baby & Gunna),5f7VJjfbwm532GiveGC0ZK,2018,80,2018-10-05,0.662,0.897,0.0,-6.903,112.509,0.39
