id,name,artist_id,year,popularity,release_date
3cBsEDNhFI9E82vPj3kvi3,Wasted On You,4oUHIQIBe0LHzYfvXNW4QM,2021,82,2021-01-08
69AIpwGNLxr4qS1X5ynx60,Buy Dirt,77kULmXAQ6vWer7IIHdGzI,2021,80,2021-05-21
4S4QJfBGGrC8jRIjJHf1Ka,Pain,78rUTD7y6Cy67W1RVzYs7t,2021,83,2021-10-15
3azJifCSqg9fRij2yKIbWz,The Color Violet,2jku7tDXc6XoB6MO2hFuqg,2021,84,2021-12-10
5OELUCYgOHKFAvCERnAvfS,More Than My Hometown,4oUHIQIBe0LHzYfvXNW4QM,2021,79,2021-01-08
4XvcHTUfIlWfyJTRG0aqlo,2055,6EPlBSH2RSiettczlz7ihV,2021,82,2021-06-02
4obHzpwGrjoTuZh2DItEMZ,7 Summers,4oUHIQIBe0LHzYfvXNW4QM,2021,78,2021-01-08
3QFInJAm9eyaho5vBzxInN,family ties (with Kendrick Lamar),5SXuuuRpukkTvsLuUknva1,2021,80,2021-09-10
6RiiSy9GzSwiyDEJDiMuKe,Something About You,3XxNRirzbjfLdDli06zMaB,2021,82,2021-08-27
4ZtFanR9U6ndgddUvNcjcG,good 4 u,1McMsnEElThX1knmY4oliG,2021,83,2021-05-21
1MX19fnaW1OUQoglWTYaOo,Dangerous,4oUHIQIBe0LHzYfvXNW4QM,2021,76,2021-01-08
5JCoSi02qi3jJeHdZXMmR8,favorite crime,1McMsnEElThX1knmY4oliG,2021,83,2021-05-21
7EkWXAI1wn8Ii883ecd9xr,Freaks,1gl0S9pS0Zw0qfa14rDD3D,2021,83,2021-05-15
3SeDS5sSoWnwAZvVgkdKzf,Better in the Dark,5Bw9kFNhy019e4IBCJZlzw,2021,78,2021-10-13
5CZ40GBx1sQ9agT82CLQCT,traitor,1McMsnEElThX1knmY4oliG,2021,84,2021-05-21
3L1JHXiqNOJ57w3n2R3HyU,raining for hours,7htQnykNfk2Bu39bSw7owz,2021,81,2021-08-13
6HU7h9RYOaPRFeh0R3UeAr,deja vu,1McMsnEElThX1knmY4oliG,2021,84,2021-05-21
0uRrG2jRR5tuifsYIJHEao,Sand In My Boots,4oUHIQIBe0LHzYfvXNW4QM,2021,76,2021-01-08
