id,name,artist_id,year,popularity,release_date,energy,danceability,instrumentalness,loudness,tempo,valence
0zirWZTcXBBwGsevrsIpvT,Clean Baby Sleep White Noise (Loopable),6Cqtx9fpxzggIMuKn0RGCp,2020,93,2020-04-29,,,,,,
3FU6urUVsgXa6RBuV2PdRk,Heartless (feat. Morgan Wallen),5fMUXHkw8R8eOP2RNVYEZX,2020,82,2020-05-29,0.556,0.765,0.0,-6.417,111.033,0.274
2UikqkwBv7aIvlixeVXHWt,You Should Probably Leave,4YLtscXsxbVgi031ovDDdh,2020,83,2020-11-13,0.477,0.602,3.1e-05,-8.425,183.89,0.552
3hxIUxnT27p5WcmjGUXNwx,Shut up My Moms Calling,35WVTyRnKAoaGExqgktVyb,2020,87,2020-02-10,0.409,0.485,0.0,-10.711,138.419,0.376
3jHdKaLCkuNEkWcLVmQPCX,BEST INTEREST,4V8LLVI7PbaPR0K2TGSxFF,2020,82,2020-01-25,0.575,0.596,0.000153,-8.325,98.265,0.34
3USxtqRwSYz57Ewm6wWRMp,Heat Waves,4yvcSjfu4PC0CYQyLy4wSq,2020,87,2020-08-07,0.525,0.761,6.7e-06,-6.9,80.87,0.531
2QfX9Pdz3q66fN3kCXl0Js,Revival,40ZNYROS4zLfyyBSs2PGe2,2020,79,2020-05-08,0.366,0.464,1.58e-05,-9.025,78.846,0.328
3hUxzQpSfdDqwM3ZTFQY0K,august,06HL4z0CvFAxyc27GXpf02,2020,87,2020-07-24,0.623,0.532,7.28e-05,-9.208,89.937,0.403
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,1Xyo4u8uXC1ZmMpatF05PJ,2020,89,2020-03-20,0.73,0.513,9.54e-05,-5.94,171.001,0.334
6pcywuOeGGWeOQzdUyti6k,Glock In My Lap,1URnnhqYAYcrqrcwql10ft,2020,82,2020-10-02,0.733,0.847,1.04e-05,-6.439,130.029,0.202
0f8eRy9A0n6zXpKSHSCAEp,Infrunami,57vWImR43h4CaDao012Ofp,2020,81,2020-12-04,0.299,0.826,0.0952,-7.721,97.012,0.215
6J2LdBN97cDWn0MLxYh9HB,July,55fhWPvDiMpLnE4ZzNXZyW,2020,83,2020-05-15,0.186,0.708,0.0,-8.953,72.541,0.322
5SWnsxjhdcEDc7LJjq9UHk,Runnin,1URnnhqYAYcrqrcwql10ft,2020,81,2020-10-02,0.626,0.819,0.101,-4.574,143.01,0.415
2J6OF7CkpdQGSfm1wdclqn,Clouded,3tlXnStJ1fFhdScmQeLpuG,2020,79,2020-02-07,0.344,0.583,0.0,-8.765,65.203,0.581
6tDDoYIxWvMLTdKpjFkc1B,telepatía,1U1el3k54VvEUzo3ybLPlM,2020,82,2020-12-04,0.524,0.653,0.0,-9.016,83.97,0.553
0HTIrbUwwFn984RzVZm5Fk,Yale,3gBZUcNeVumkeeJ19CY2sX,2020,79,2020-08-14,0.442,0.728,8.21e-06,-10.095,142.025,0.441
7s5VQqrjBtrBgZL4pEa46S,Romantic Lover,3XxNRirzbjfLdDli06zMaB,2020,80,2020-08-07,0.447,0.658,0.924,-9.299,184.316,0.538
