id,name,artist_id,year,popularity,release_date,energy,danceability,instrumentalness,loudness,tempo,valence
3xKsf9qdS1CyvXSMEid6g8,Pink + White,2h93pZq0e7k5yf4dywlkpM,2016,88,2016-08-20,0.545,0.545,5.48e-05,-7.362,159.94,0.549
3IznIgmXtrUaoPWpQTy5jB,Not Allowed,0Y6dVaC9DZtPNH4591M42W,2016,85,2016-02-25,0.905,0.67,0.000227,-6.855,104.965,0.563
6QeYSvYqYUsfBzsApbjDHO,Cigarettes out the Window,0Y6dVaC9DZtPNH4591M42W,2016,84,2016-02-25,0.659,0.625,0.0,-5.669,113.551,0.594
2ZWlPOoWh0626oTaHrnl2a,Ivy,2h93pZq0e7k5yf4dywlkpM,2016,83,2016-08-20,0.386,0.575,0.000289,-9.584,116.408,0.466
4KW1lqgSr8TKrvBII0Brf8,Father Stretch My Hands Pt. 1,5K4W6rqBFWDnAN6FQUkS6x,2016,84,2016-06-10,0.573,0.724,0.0,-4.113,113.088,0.438
1zi7xx7UVEFkmKfv06H8x0,One Dance,3TVXtAsR1Inumwj472S9r4,2016,87,2016-05-06,0.625,0.792,0.0018,-5.609,103.967,0.37
4riDfclV7kPDT9D58FpmHd,Some,57vWImR43h4CaDao012Ofp,2016,82,2016-10-31,0.554,0.784,0.254,-6.417,104.01,0.634
2LMkwUfqC6S6s6qDVlEuzV,White Ferrari,2h93pZq0e7k5yf4dywlkpM,2016,82,2016-08-20,0.0958,0.501,0.0,-15.605,108.741,0.204
6gBFPUFcJLzWGx4lenP6h2,goosebumps,0Y5tJX1MQlPlqiwlOH1tJY,2016,86,2016-09-16,0.728,0.841,0.0,-3.37,130.049,0.43
7MXVkk9YMctZqd1Srtv4MB,Starboy,1Xyo4u8uXC1ZmMpatF05PJ,2016,89,2016-11-25,0.587,0.679,6.35e-06,-7.015,186.003,0.486
0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,0du5cEVh5yTK9QJze8zA0C,2016,86,2016-11-17,0.56,0.853,0.0,-4.961,134.066,0.86
14AyWf6y7KlWWLfAjdKMKI,Ophelia,16oZKvXb6WkQlVAjwo2Wbg,2016,82,2016-04-08,0.573,0.664,0.000363,-6.519,76.023,0.566
5gDWsRxpJ2lZAffh5p7K0w,Stargirl Interlude,1Xyo4u8uXC1ZmMpatF05PJ,2016,83,2016-11-24,0.47,0.715,0.0923,-12.638,89.965,0.426
5NijSs5dAwaIybq1GaRTIe,Poison,3tlXnStJ1fFhdScmQeLpuG,2016,79,2016-08-03,0.394,0.689,0.000905,-10.102,117.489,0.382
2Co0IjcLTSHMtodwD4gzfg,I Bet on Losing Dogs,2uYWxilOVlUdk4oV9DvwqK,2016,82,2016-06-17,0.493,0.398,0.000157,-9.561,82.048,0.412
0WtDGnWL2KrMCk0mI1Gpwz,Redbone,73sIBHcqh3Z3NyqHKZ7FOL,2016,81,2016-12-02,0.353,0.745,0.00662,-10.614,160.111,0.598
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,4IWBUUAFIplrNtaOHcJPRM,2016,87,2016-10-28,0.557,0.358,0.0,-7.398,85.043,0.494
4pAl7FkDMNBsjykPXo91B3,Needed Me,5pKCCKE2ajJHZ9KAiaK11H,2016,82,2016-01-28,0.315,0.697,0.0,-8.091,110.872,0.298
0Z57YWES04xGh3AImDz6Qr,Real Love Baby,2kGBy2WHvF0VdZyqiVCkDT,2016,79,2016-07-26,0.686,0.417,0.0287,-6.484,204.113,0.625
0bPnT6i9H1p8Vd85GS6Z7I,Night Shift,4MoAOfV4ROWofLG3a3hhBN,2016,76,2016-05-13,0.754,0.631,0.0,-3.564,95.992,0.729
5UGAXwbA17bUC0K9uquGY2,Antarctica,1VPmR4DJC1PlOtd0IADAO0,2016,77,2016-01-26,0.633,0.715,4.45e-06,-6.869,105.945,0.319
7eqoqGkKwgOaWNNHx90uEZ,Nights,2h93pZq0e7k5yf4dywlkpM,2016,79,2016-08-20,0.551,0.457,1.15e-06,-9.36,89.87,0.428
0azC730Exh71aQlOt9Zj3y,This Is What You Came For,7CajNmpbOovFoOoasH2HaY,2016,85,2016-04-29,0.927,0.631,0.119,-2.787,123.962,0.465
7BKLCZ1jbUBVqRi2FVlTVw,Closer,69GGBxA162lTqCwzJG5jLp,2016,84,2016-07-29,0.524,0.748,0.0,-5.599,95.01,0.661
2LBqCSwhJGcFQeTHMVGwy3,Die For You,1Xyo4u8uXC1ZmMpatF05PJ,2016,85,2016-11-24,0.525,0.586,0.0,-7.163,133.629,0.508
