id,name,artist_id,year,popularity,release_date,energy,danceability,instrumentalness,loudness,tempo,valence
3cBsEDNhFI9E82vPj3kvi3,Wasted On You,4oUHIQIBe0LHzYfvXNW4QM,2021,82,2021-01-08,0.657,0.505,0.00107,-5.24,196.0,0.252
69AIpwGNLxr4qS1X5ynx60,Buy Dirt,77kULmXAQ6vWer7IIHdGzI,2021,80,2021-05-21,0.559,0.586,0.0,-6.725,177.945,0.437
4S4QJfBGGrC8jRIjJHf1Ka,Pain,78rUTD7y6Cy67W1RVzYs7t,2021,83,2021-10-15,0.617,0.829,0.00306,-8.497,125.605,0.81
3azJifCSqg9fRij2yKIbWz,The Color Violet,2jku7tDXc6XoB6MO2hFuqg,2021,84,2021-12-10,0.534,0.645,0.0,-10.8,105.02,0.463
5OELUCYgOHKFAvCERnAvfS,More Than My Hometown,4oUHIQIBe0LHzYfvXNW4QM,2021,79,2021-01-08,0.869,0.62,0.0,-5.479,126.019,0.597
4XvcHTUfIlWfyJTRG0aqlo,2055,6EPlBSH2RSiettczlz7ihV,2021,82,2021-06-02,0.512,0.829,0.0,-5.865,80.511,0.638
4obHzpwGrjoTuZh2DItEMZ,7 Summers,4oUHIQIBe0LHzYfvXNW4QM,2021,78,2021-01-08,0.786,0.466,6.1e-05,-5.13,203.903,0.571
3QFInJAm9eyaho5vBzxInN,family ties (with Kendrick Lamar),5SXuuuRpukkTvsLuUknva1,2021,80,2021-09-10,0.611,0.711,0.0,-5.453,134.093,0.144
6RiiSy9GzSwiyDEJDiMuKe,Something About You,3XxNRirzbjfLdDli06zMaB,2021,82,2021-08-27,0.781,0.648,0.013,-8.736,133.417,0.822
4ZtFanR9U6ndgddUvNcjcG,good 4 u,1McMsnEElThX1knmY4oliG,2021,83,2021-05-21,0.664,0.563,0.0,-5.044,166.928,0.688
1MX19fnaW1OUQoglWTYaOo,Dangerous,4oUHIQIBe0LHzYfvXNW4QM,2021,76,2021-01-08,0.772,0.635,0.0,-4.825,119.017,0.948
5JCoSi02qi3jJeHdZXMmR8,favorite crime,1McMsnEElThX1knmY4oliG,2021,83,2021-05-21,0.272,0.369,0.0,-10.497,172.929,0.218
7EkWXAI1wn8Ii883ecd9xr,Freaks,1gl0S9pS0Zw0qfa14rDD3D,2021,83,2021-05-15,0.941,0.345,0.633,-9.918,179.626,0.407
3SeDS5sSoWnwAZvVgkdKzf,Better in the Dark,5Bw9kFNhy019e4IBCJZlzw,2021,78,2021-10-13,0.64,0.678,0.00067,-7.486,90.058,0.701
5CZ40GBx1sQ9agT82CLQCT,traitor,1McMsnEElThX1knmY4oliG,2021,84,2021-05-21,0.339,0.38,0.0,-7.885,100.607,0.0849
3L1JHXiqNOJ57w3n2R3HyU,raining for hours,7htQnykNfk2Bu39bSw7owz,2021,81,2021-08-13,0.976,0.231,0.987,-27.426,96.552,0.00672
6HU7h9RYOaPRFeh0R3UeAr,deja vu,1McMsnEElThX1knmY4oliG,2021,84,2021-05-21,0.612,0.442,5.7e-06,-7.222,180.917,0.178
0uRrG2jRR5tuifsYIJHEao,Sand In My Boots,4oUHIQIBe0LHzYfvXNW4QM,2021,76,2021-01-08,0.537,0.403,0.0,-6.628,69.877,0.414
751srcHf5tUqcEa9pRCQwP,Tek It,581C5Qwl87TskfBEzuoisu,2021,80,2021-07-20,0.913,0.423,0.0,-5.354,146.995,0.596
2ZXxRC6V6AXzMdbLQZMHSB,LOT OF ME,4Ga1P7PMIsmqEZqhYZQgDo,2021,79,2021-08-27,0.537,0.704,0.0,-8.565,77.444,0.7
4l0RmWt52FxpVxMNni6i63,you broke me first,45dkTj5sMRSjrmBSBeiHym,2021,83,2021-03-26,0.379,0.66,0.0,-9.357,124.027,0.0762
0sTlGEld0h8kIPZaKDYUf4,Notion,1QfpRUtH14JLoY6F6AYmwt,2021,81,2021-12-02,0.883,0.309,0.00111,-3.825,159.488,0.312
6I3mqTwhRpn34SLVafSH7G,Ghost,1uNFoZAHBGtllmzznpCI3s,2021,84,2021-03-19,0.741,0.601,2.91e-05,-5.569,153.96,0.441
0MMyJUC3WNnFS1lit5pTjk,"jealousy, jealousy",1McMsnEElThX1knmY4oliG,2021,82,2021-05-21,0.575,0.695,0.0,-6.334,163.929,0.699
5wANPM4fQCJwkGd4rN57mH,drivers license,1McMsnEElThX1knmY4oliG,2021,83,2021-05-21,0.431,0.561,1.42e-05,-8.81,143.875,0.137
567e29TDzLwZwfDuEpGTwo,STAY (with Justin Bieber),2tIP7SsRs7vjIcLrU85W8J,2021,85,2021-07-27,0.764,0.591,0.0,-5.484,169.928,0.478
3DarAbFujv6eYNliUTyqtz,Kiss Me More (feat. SZA),5cj0lLjcoR7YOSnhnX0Po5,2021,81,2021-06-25,0.705,0.764,8.92e-05,-3.463,110.97,0.781
6ngGiVX91DRmGDH4G5EgeO,Son Of A Sinner,19k8AgwwTSxeaxkOuCQEJs,2021,74,2021-09-17,0.541,0.365,2.25e-06,-7.489,86.041,0.329
6ybZUqlfk938oS6WeBmDab,Missed Call,3444S3C4U9Ts86BnCtSPRV,2021,73,2021-01-29,0.787,0.385,4.32e-06,-2.891,152.251,0.337
4RVwu0g32PAqgUiJoXsdF8,Happier Than Ever,6qqNVTkY8uBg9cP3Jd7DAH,2021,82,2021-07-30,0.225,0.332,0.00349,-8.697,81.055,0.297
1Is8hGpkGMiePASAxBluxM,16,5SXuuuRpukkTvsLuUknva1,2021,76,2021-09-10,0.782,0.701,2.31e-06,-4.987,94.03,0.57
6Uj1ctrBOjOas8xZXGqKk4,Woman,5cj0lLjcoR7YOSnhnX0Po5,2021,83,2021-06-25,0.764,0.824,0.00294,-4.175,107.998,0.881
6mmPpaltUZK7xjNlBPQQ0p,Desesperados,1mcTU81TzQhprhouKaTkpq,2021,83,2021-12-10,0.694,0.869,0.00125,-3.35,90.02,0.511
0mKnuxVkPi5h0kuvZl44VM,Cover Me Up,4oUHIQIBe0LHzYfvXNW4QM,2021,73,2021-01-08,0.44,0.549,7.37e-06,-8.192,128.01,0.214
