id,name,artist_id,year,popularity,release_date,energy,danceability,instrumentalness,loudness,tempo,valence
4xdBrk0nFZaP54vvZj0yx7,HOT TO GO!,7GlBOeep6PqTfFi59PTUUN,2023,91,2023-09-22,0.757,0.742,0.0,-4.981,139.982,0.957
4KULAymBBJcPRpk1yO4dOG,I Remember Everything (feat. Kacey Musgraves),40ZNYROS4zLfyyBSs2PGe2,2023,89,2023-08-25,0.453,0.429,2e-06,-7.746,77.639,0.155
7FOgcfdz9Nx5V9lCNXdBYv,Red Wine Supernova,7GlBOeep6PqTfFi59PTUUN,2023,88,2023-09-22,0.82,0.657,0.0,-4.448,124.041,0.709
1k2pQc5i348DCHwbn5KTdc,Pink Pony Club,7GlBOeep6PqTfFi59PTUUN,2023,88,2023-09-22,0.65,0.61,0.0,-6.199,106.719,0.507
7fveJ3pk1eSfxBdVkzdXZ0,Cowgirls (feat. ERNEST),4oUHIQIBe0LHzYfvXNW4QM,2023,86,2023-03-03,0.779,0.621,8.62e-06,-3.777,172.037,0.399
3WSOUb3U7tqURbBSgZTrZX,Casual,7GlBOeep6PqTfFi59PTUUN,2023,86,2023-09-22,0.411,0.508,0.0,-6.95,131.008,0.34
0PAcdVzhPO4gq1Iym9ESnK,Thinkin’ Bout Me,4oUHIQIBe0LHzYfvXNW4QM,2023,85,2023-03-03,0.789,0.659,0.0,-5.723,139.982,0.468
1XBYiRV30ykHw5f4wm6qEn,NIGHTS LIKE THIS,2tIP7SsRs7vjIcLrU85W8J,2023,88,2023-11-10,0.757,0.482,0.0016,-4.586,142.579,0.12
17phhZDn6oGtzMe56NuWvj,Lose Control,33qOK5uJ8AR2xuQQAhHump,2023,91,2023-09-15,0.604,0.561,1.9e-05,-4.409,159.92,0.242
53IRnAWx13PYmoVYtemUBS,Femininomenon,7GlBOeep6PqTfFi59PTUUN,2023,85,2023-09-22,0.758,0.609,5.38e-06,-4.885,124.949,0.236
5W4kiM2cUYBJXKRudNyxjW,You Proof,4oUHIQIBe0LHzYfvXNW4QM,2023,83,2023-03-03,0.818,0.728,0.0,-5.068,119.706,0.681
0eBFgRxyVSeuT4iyrbukdn,Where the Wild Things Are,718COspgdWOnwOFpJHRZHS,2023,84,2023-03-24,0.731,0.708,4.47e-06,-4.872,116.975,0.379
2Zo1PcszsT9WQ0ANntJbID,Feather,74KM79TiuVKeVCqs8QtB0B,2023,88,2023-03-17,0.694,0.791,1.75e-06,-4.332,123.508,0.826
7K3BhSpAxZBznislvUMVtn,Last Night,4oUHIQIBe0LHzYfvXNW4QM,2023,84,2023-03-03,0.673,0.492,0.0,-5.431,203.812,0.488
32fSZSbxeVoiZShMQKLc6Z,My Kink Is Karma,7GlBOeep6PqTfFi59PTUUN,2023,84,2023-09-22,0.599,0.555,0.0,-5.695,86.727,0.415
3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,2uYWxilOVlUdk4oV9DvwqK,2023,89,2023-09-15,0.308,0.504,0.135,-14.958,113.95,0.121
4pCbJC43j3gSqG6Fen6upD,Hey Driver (feat. The War and Treaty),40ZNYROS4zLfyyBSs2PGe2,2023,82,2023-08-25,0.351,0.583,0.0,-5.836,79.014,0.462
4rXLjWdF2ZZpXCVTfWcshS,fukumean,2hlmm7s2ICUX0LVIhVFlZQ,2023,87,2023-06-16,0.622,0.847,0.0,-6.747,130.001,0.22
