id,name,artist_id,year,popularity,release_date
4xdBrk0nFZaP54vvZj0yx7,HOT TO GO!,7GlBOeep6PqTfFi59PTUUN,2023,91,2023-09-22
4KULAymBBJcPRpk1yO4dOG,I Remember Everything (feat. Kacey Musgraves),40ZNYROS4zLfyyBSs2PGe2,2023,89,2023-08-25
7FOgcfdz9Nx5V9lCNXdBYv,Red Wine Supernova,7GlBOeep6PqTfFi59PTUUN,2023,88,2023-09-22
1k2pQc5i348DCHwbn5KTdc,Pink Pony Club,7GlBOeep6PqTfFi59PTUUN,2023,88,2023-09-22
7fveJ3pk1eSfxBdVkzdXZ0,Cowgirls (feat. ERNEST),4oUHIQIBe0LHzYfvXNW4QM,2023,86,2023-03-03
3WSOUb3U7tqURbBSgZTrZX,Casual,7GlBOeep6PqTfFi59PTUUN,2023,86,2023-09-22
0PAcdVzhPO4gq1Iym9ESnK,Thinkin’ Bout Me,4oUHIQIBe0LHzYfvXNW4QM,2023,85,2023-03-03
1XBYiRV30ykHw5f4wm6qEn,NIGHTS LIKE THIS,2tIP7SsRs7vjIcLrU85W8J,2023,88,2023-11-10
17phhZDn6oGtzMe56NuWvj,Lose Control,33qOK5uJ8AR2xuQQAhHump,2023,91,2023-09-15
53IRnAWx13PYmoVYtemUBS,Femininomenon,7GlBOeep6PqTfFi59PTUUN,2023,85,2023-09-22
5W4kiM2cUYBJXKRudNyxjW,You Proof,4oUHIQIBe0LHzYfvXNW4QM,2023,83,2023-03-03
0eBFgRxyVSeuT4iyrbukdn,Where the Wild Things Are,718COspgdWOnwOFpJHRZHS,2023,84,2023-03-24
2Zo1PcszsT9WQ0ANntJbID,Feather,74KM79TiuVKeVCqs8QtB0B,2023,88,2023-03-17
7K3BhSpAxZBznislvUMVtn,Last Night,4oUHIQIBe0LHzYfvXNW4QM,2023,84,2023-03-03
32fSZSbxeVoiZShMQKLc6Z,My Kink Is Karma,7GlBOeep6PqTfFi59PTUUN,2023,84,2023-09-22
3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,2uYWxilOVlUdk4oV9DvwqK,2023,89,2023-09-15
4pCbJC43j3gSqG6Fen6upD,Hey Driver (feat. The War and Treaty),40ZNYROS4zLfyyBSs2PGe2,2023,82,2023-08-25
4rXLjWdF2ZZpXCVTfWcshS,fukumean,2hlmm7s2ICUX0LVIhVFlZQ,2023,87,2023-06-16
42VsgItocQwOQC3XWZ8JNA,FE!N (feat. Playboi Carti),0Y5tJX1MQlPlqiwlOH1tJY,2023,90,2023-07-28
1Lo0QY9cvc8sUB2vnIOxDT,Fast Car,718COspgdWOnwOFpJHRZHS,2023,84,2023-03-24
3xOi0YhDREKRURFHoNaAOQ,Nine Ball,40ZNYROS4zLfyyBSs2PGe2,2023,81,2023-09-22
22VHOlVYBqytsrAqV8yXBK,Dial Drunk (with Post Malone),2RQXRUsr4IW1f3mKyKsy4B,2023,83,2023-07-18
0HEytGQM3bG1vKxER7IgVK,Spotless (feat. The Lumineers),40ZNYROS4zLfyyBSs2PGe2,2023,81,2023-08-25
4QTlxavdQGUVitxAvQqqkU,Mmhmm,6qxpnaukVayrQn6ViNvu9I,2023,81,2023-12-01
7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)",1Xyo4u8uXC1ZmMpatF05PJ,2023,91,2023-06-23
3rUGC1vUpkDG9CZFHMur1t,greedy,45dkTj5sMRSjrmBSBeiHym,2023,89,2023-09-15
1rNSCrsOoWyhKH4g47mehU,Super Graphic Ultra Modern Girl,7GlBOeep6PqTfFi59PTUUN,2023,82,2023-09-22
4rlQza35DE4Prh5yonxnCs,After Midnight,7GlBOeep6PqTfFi59PTUUN,2023,81,2023-09-22
4LKYOetuIF5c9XjeLBL9av,Naked In Manhattan,7GlBOeep6PqTfFi59PTUUN,2023,81,2023-09-22
72kGuWpRiuA149Bn5lDkIO,We Ride,0ChjBYedhZTQnWZWQYg15U,2023,81,2023-03-31
0wXThIDxO3YRJCpPgnmbkw,Where It Ends,3win9vGIxFfBRag9S63wwf,2023,80,2023-01-11
4xhsWYTOGcal8zt0J161CU,Lovin On Me,2LIk90788K0zvyj2JJVwkJ,2023,84,2023-11-10
7hrFCoyWwKep7qp1lP4oga,Back On My BS,6qxpnaukVayrQn6ViNvu9I,2023,80,2023-12-01
2kE2HFBFkJ0VMw3igxYohz,Wild Ones (feat. Jelly Roll),2yLzlEFtIS0Q9UkyBZdQA7,2023,80,2023-10-06
4nHJcUtNSUVjXRnjdP29Bk,You’re Gonna Go Far,2RQXRUsr4IW1f3mKyKsy4B,2023,81,2023-06-09
2YVlDlk2zRceefo6XlC6DX,Ain’t That Some,4oUHIQIBe0LHzYfvXNW4QM,2023,80,2023-03-03
4E63weMCaNZuGPEFMnuEi8,exes,45dkTj5sMRSjrmBSBeiHym,2023,84,2023-12-08
6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]",6qqNVTkY8uBg9cP3Jd7DAH,2023,87,2023-07-13
6wsqVwoiVH2kde4k4KKAFU,I KNOW ?,0Y5tJX1MQlPlqiwlOH1tJY,2023,85,2023-07-28
3ZaEs1O8BG581qYPHpQ8d6,I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),13ubrt8QOOCPljQ2FL1Kca,2023,83,2023-08-18
7DSAEUvxU8FajXtRloy8M0,Flowers,5YGY8feqx7naU7z4HrwZM6,2023,89,2023-08-18
6CThut6kPrjot0pTJOTEer,TRUCK BED,5QNm7E7RU2m64l6Gliu8Oy,2023,79,2023-01-20
