id,name,popularity,genres,year,simplified_genre
31TPClRtHm23RisEBtV3X7,Justin Timberlake,81,"['dance pop', 'pop']",2016,Pop
3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,83,"['r&b', 'soul']",2016,R&B
16oZKvXb6WkQlVAjwo2Wbg,The Lumineers,79,"['folk-pop', 'modern rock', 'neo mellow', 'stomp and holler']",2016,Pop
20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,81,['canadian contemporary r&b'],2016,R&B
1Tie3AZgLQZqYEp8Fv4zOZ,Koe Wetzel,75,"['classic texas country', 'modern country pop']",2016,Country
3PhoLpVuITZKcymswpck5b,Elton John,83,"['glam rock', 'mellow gold', 'piano rock', 'rock']",2016,Rock
6zLBxLdl60ekBLpawtT63I,Cody Johnson,75,"['classic texas country', 'contemporary country', 'modern country pop']",2016,Country
137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,81,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",2016,Hip Hop
0fA0VVWsXO9YnASrzqfmYu,Kid Cudi,79,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",2016,Hip Hop
5INjqkS1o8h1imAzPqGZBb,Tame Impala,80,"['australian psych', 'modern rock', 'neo-psychedelic', 'rock']",2016,Rock
360IAlyVv4PCEVjgyMZrxK,Miguel,79,"['r&b', 'urban contemporary']",2016,R&B
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,86,['k-pop'],2016,Pop
4UXqAaa6dQYAk18Lv7PEgX,Fall Out Boy,79,"['emo', 'modern rock', 'pop', 'pop punk', 'rock']",2016,Rock
4Z8W4fKeB5YxbusRsdQVPb,Radiohead,81,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",2016,Rock
4AK6F7OLvEQ5QYCBNiQWHq,One Direction,84,"['boy band', 'pop', 'post-teen pop', 'talent show']",2016,Pop
4r63FhuTkUYltbVAg5TQnk,DaBaby,78,"['hip hop', 'north carolina hip hop', 'pop rap', 'rap', 'trap']",2016,Hip Hop
26VFTg2z8YR0cCuwLzESi2,Halsey,81,"['electropop', 'etherpop', 'indie poptimism', 'pop']",2016,Pop
4kYSro6naA4h99UJvo89HB,Cardi B,80,"['pop', 'rap']",2016,Pop
4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,79,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",2016,Hip Hop
4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,78,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']",2016,Pop
0VRj0yCOv2FXJNP47XQnx5,Quavo,80,"['atl hip hop', 'melodic rap', 'rap', 'trap']",2016,Hip Hop
2QsynagSdAqZj3U9HgDzjD,Bob Marley & The Wailers,82,"['reggae', 'roots reggae']",2016,Reggae
2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,84,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'progressive electro house', 'slap house', 'trance']",2016,House
1r4hJ1h58CWwUQe3MxPuau,Maluma,85,"['latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",2016,Pop
5H4yInM5zmHqpKIoMNAx4r,Central Cee,83,"['melodic drill', 'r&drill']",2016,Other
6deZN1bslXzeGvOLaLMOIF,Nickelback,79,"['alternative metal', 'canadian rock', 'post-grunge']",2016,Metal
3aQeKQSyrW4qWr35idm0cy,T-Pain,78,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",2016,Pop
6fOMl44jA4Sp5b9PpYCkzz,NF,78,"['hip hop', 'pop rap']",2016,Hip Hop
6FBDaR13swtiWwGhX1WQsP,blink-182,78,"['alternative metal', 'modern rock', 'pop punk', 'punk', 'rock', 'socal pop punk']",2016,Metal
5lwmRuXgjX8xIwlnauTZIP,Romeo Santos,83,"['bachata', 'latin hip hop', 'latin pop', 'urbano latino']",2016,Hip Hop
0c173mlxpT3dSFRgMO8XPh,Big Sean,78,"['detroit hip hop', 'hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']",2016,Hip Hop
2RdwBSPQiwcmiDo9kixcl8,Pharrell Williams,80,"['dance pop', 'pop']",2016,Pop
6LqNN22kT3074XbTVUrhzX,Kesha,79,"['dance pop', 'pop']",2016,Pop
2QMsj4XJ7ne2hojxt6v5eb,Riley Green,75,"['contemporary country', 'modern country pop']",2016,Country
1zNqQNIdeOUZHb8zbZRFMX,Swae Lee,80,"['melodic rap', 'rap', 'trap']",2016,Rap
6DPYiyq5kWVQS4RGwxzPC7,Dr. Dre,80,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",2016,Funk
