track_id,track_name,artist_id,year,energy,danceability,instrumentalness,loudness,tempo,valence,energy_category,tempo_category,danceability_category,valence_category,danceability_valence_interaction,loudness_scaled,loudness_category,instrumentalness_category,custom_score
7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),4V8LLVI7PbaPR0K2TGSxFF,2017,0.559,0.558,7.49e-06,-9.222,78.558,0.62,Medium,Slow,Medium,Happy,0.34596,0.6140829418598777,High,Low,0.5849665883719756
1mMLMZYXkMueg65jRRWG1l,When It Rains It Pours,718COspgdWOnwOFpJHRZHS,2017,0.801,0.551,6.03e-06,-5.069,128.027,0.625,High,Medium,Medium,Happy,0.344375,0.8238622013436379,Very High,Low,0.6865724402687277
6me7F0aaZjwDo6RJ5MrfBD,Evergreen,4qU7IJSReZnsLy5907Mtau,2017,0.216,0.555,0.00416,-11.661,79.109,0.504,Low,Slow,Medium,Neutral,0.27972,0.4908824569379199,Low,Low,0.444676491387584
7sO5G9EABYOXQKNPNiE9NR,Ric Flair Drip (with Metro Boomin),4DdkRBBYG6Yk9Ka8tdJ9BW,2017,0.428,0.88,5.05e-05,-8.28,100.007,0.333,Medium,Medium,High,Neutral,0.29304,0.6616659089761074,High,Low,0.5865831817952215
3EaJDYHA0KnX88JvDhL9oa,Dark Red,57vWImR43h4CaDao012Ofp,2017,0.784,0.603,8.32e-06,-4.023,172.041,0.769,High,Fast,Medium,Happy,0.463707,0.876698489670152,Very High,Low,0.7444896979340304
7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,2YZyLoL8N0Wb9xBt1NhZWg,2017,0.621,0.908,5.39e-05,-6.638,150.011,0.421,Medium,Fast,High,Neutral,0.382268,0.7446077688538667,High,Low,0.6818215537707732
5TXDeTFVRVY7Cvt0Dw4vWW,Revenge,15UsOTVnJzReFVN1VCnxy4,2017,0.251,0.746,0.00203,-16.169,139.999,0.18,Low,Medium,High,Sad,0.1342799999999999,0.2631711875536696,Low,Low,0.3841842375107339
2tgQaL85WoRfgEa4hFQgrE,Feathered Indians,13ZEDW6vyBF12HYcZRr4EV,2017,0.574,0.536,0.00277,-6.705,87.194,0.877,Medium,Slow,Medium,Happy,0.470072,0.7412234176895489,High,Low,0.6717946835379097
7AQim7LbvFVZJE3O8TYgf2,Fuck Love,15UsOTVnJzReFVN1VCnxy4,2017,0.533,0.797,0.000152,-9.74,131.036,0.329,Medium,Medium,High,Neutral,0.262213,0.5879173612163459,High,Low,0.5721834722432692
0yc6Gst2xkRu0eMLeRMGCX,Apocalypse,1QAJqy2dA3ihHBFIHRphZj,2017,0.468,0.369,0.566,-9.013,94.434,0.18,Medium,Slow,Low,Sad,0.0664199999999999,0.6246400969843915,High,Medium,0.3976280193968783
6IZvVAP7VPPnsGX6bvgkqg,PRIDE.,2YZyLoL8N0Wb9xBt1NhZWg,2017,0.535,0.665,1.68e-05,-7.056,138.842,0.37,Medium,Medium,Medium,Neutral,0.24605,0.723493458604839,High,Low,0.5704486917209679
2fXwCWkh6YG5zU1IyvQrbs,Broken Clocks,7tYKF4w9nC0nq9CsPZTHyP,2017,0.684,0.692,0.0,-7.364,112.912,0.406,High,Medium,Medium,Neutral,0.280952,0.707935545789766,High,None,0.6216871091579532
6PGoSes0D9eUDeeAafB2As,LOVE. FEAT. ZACARI.,2YZyLoL8N0Wb9xBt1NhZWg,2017,0.585,0.8,0.0,-7.343,126.058,0.779,Medium,Medium,High,Happy,0.6232000000000001,0.708996312572612,High,None,0.7227992625145223
06gD2ZtK3Dzc1BYqWExQJJ,Broken Halos,4YLtscXsxbVgi031ovDDdh,2017,0.564,0.613,1.65e-06,-7.085,78.388,0.538,Medium,Slow,Medium,Neutral,0.329794,0.7220285901904329,High,Low,0.6038057180380866
4sNG6zQBmtq7M8aeeKJRMQ,Brazil,2D4FOOOtWycb3Aw9nY5n3c,2017,0.617,0.687,1.27e-05,-5.213,121.079,0.665,Medium,Medium,Medium,Happy,0.456855,0.8165883719755518,Very High,Low,0.6899176743951103
0uxSUdBrJy9Un0EYoBowng,20 Min,4O15NlyKLIASxsJ0PrXPfz,2017,0.75,0.773,0.0,-4.009,123.426,0.783,High,Medium,High,Happy,0.605259,0.8774056675253825,Very High,None,0.7906311335050765
7GX5flRQZVHRAGd6B4TmDO,XO Tour Llif3,4O15NlyKLIASxsJ0PrXPfz,2017,0.75,0.732,0.0,-6.366,155.096,0.401,High,Fast,High,Neutral,0.293532,0.7583472243269181,Very High,None,0.6590194448653837
6xHI9KjUjYT0FPtGO8Mxa1,Hurricane,718COspgdWOnwOFpJHRZHS,2017,0.813,0.464,0.0,-6.185,75.977,0.515,High,Slow,Medium,Neutral,0.23896,0.7674900237409708,Very High,None,0.6246980047481941
6RUKPb4LETWmmr3iAEQktW,Something Just Like This,69GGBxA162lTqCwzJG5jLp,2017,0.635,0.617,1.44e-05,-6.769,103.019,0.446,Medium,Medium,Medium,Neutral,0.275182,0.7379906046370661,High,Low,0.6029481209274132
3B54sVLJ402zGa6Xm4YGNe,Unforgettable,6vXTefBL93Dj5IqAWq6OTv,2017,0.769,0.726,0.0101,-5.043,97.985,0.733,High,Slow,High,Happy,0.532158,0.8251755316462089,Very High,Low,0.7583351063292418
2R4AlwtrrkMaRKojcTIzmL,For the First Time,3Sz7ZnJQBIHsXLUSo0OQtM,2017,0.529,0.551,0.0093,-10.469,75.515,0.521,Medium,Slow,Medium,Neutral,0.287071,0.5510936000404101,High,Low,0.5380187200080819
1R0a2iXumgCiFb7HEZ7gUE,Don’t Blame Me,06HL4z0CvFAxyc27GXpf02,2017,0.534,0.615,1.76e-05,-6.719,135.917,0.193,Medium,Medium,Medium,Sad,0.118695,0.7405162398343182,High,Low,0.5143532479668637
4a2uqVlpRChHj32EjJLu7G,Nose On The Grindstone (OurVinyl Sessions),13ZEDW6vyBF12HYcZRr4EV,2017,0.284,0.488,0.0,-11.039,149.952,0.398,Low,Fast,Medium,Neutral,0.194224,0.5223013587917361,High,None,0.4213602717583471
1RMJOxR6GRPsBHL8qeC2ux,Best Part (feat. H.E.R.),20wkVLutqVOYrc0kxFs7rA,2017,0.364,0.524,0.0,-10.209,75.24,0.436,Medium,Slow,Medium,Neutral,0.228464,0.5642269030661211,High,None,0.4700453806132242
