track_id,track_name,artist_id,year,energy,danceability,instrumentalness,loudness,tempo,valence,energy_category,tempo_category,danceability_category,valence_category,danceability_valence_interaction,loudness_scaled,loudness_category,instrumentalness_category,custom_score
698eQRku24PIYPQPHItKlA,She Got the Best of Me,718COspgdWOnwOFpJHRZHS,2018,0.907,0.533,0.0,-3.793,150.99,0.7,High,Fast,Medium,Happy,0.3731,0.9342778755988698,Very High,None,0.748505575119774
2rxQMGVafnNaRaXlRMWPde,Beautiful Crazy,718COspgdWOnwOFpJHRZHS,2018,0.402,0.551,0.0,-7.431,103.313,0.382,Medium,Medium,Medium,Neutral,0.210482,0.785307726956308,Very High,None,0.5183615453912617
3GCdLUSnKSMJhs4Tj6CV3s,All The Stars (with SZA),2YZyLoL8N0Wb9xBt1NhZWg,2018,0.633,0.695,0.000195,-4.946,96.782,0.557,Medium,Slow,Medium,Neutral,0.387115,0.8870644117767494,Very High,Low,0.6834128823553499
7yNf9YjeO5JXUE3JEBgnYc,Babydoll,6USv9qhCn6zfxlBQIYJ9qs,2018,0.604,0.762,0.0,-5.296,168.007,0.847,Medium,Fast,High,Happy,0.645414,0.8727324843372506,Very High,None,0.7658964968674502
57TEkZN3f84tFJFHFrD4pO,Whiskey Glasses,4oUHIQIBe0LHzYfvXNW4QM,2018,0.68,0.616,1.18e-06,-4.581,149.951,0.687,High,Fast,Medium,Happy,0.423192,0.902010564677941,Very High,Low,0.7069521129355882
2aPTvyE09vUCRwVvj0I8WK,Sundress,13ubrt8QOOCPljQ2FL1Kca,2018,0.707,0.721,3.68e-06,-6.364,125.005,0.743,High,Medium,High,Happy,0.5357029999999999,0.828999631464723,Very High,Low,0.7445999262929446
0WiyWiJDkNCyGNqkv7NByy,Chasin' You,4oUHIQIBe0LHzYfvXNW4QM,2018,0.591,0.631,0.0,-5.806,97.087,0.494,Medium,Slow,Medium,Neutral,0.311714,0.8518488186396953,Very High,None,0.630919763727939
19MkwMrRjO7773zpuGss1o,Shake the Frost (Live),13ZEDW6vyBF12HYcZRr4EV,2018,0.341,0.447,2.05e-06,-9.769,138.969,0.371,Medium,Medium,Medium,Neutral,0.165837,0.6895704516604562,High,Low,0.4500140903320912
39sDitIeCMrVX2QyXHY46t,Blue Hair,0Y6dVaC9DZtPNH4591M42W,2018,0.72,0.751,0.0497,-6.376,135.73,0.884,High,Medium,High,Happy,0.663884,0.8285082510953687,Very High,Low,0.7920016502190738
2cYqizR4lgvp4Qu6IQ3qGN,BUTTERFLY EFFECT,0Y5tJX1MQlPlqiwlOH1tJY,2018,0.628,0.763,0.0,-5.85,140.958,0.193,Medium,Fast,High,Sad,0.147259,0.8500470906187297,Very High,None,0.604159418123746
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),6qqNVTkY8uBg9cP3Jd7DAH,2018,0.296,0.351,0.0,-10.109,115.284,0.12,Low,Medium,Low,Sad,0.04212,0.6756480078620859,High,None,0.3444296015724172
7zwn1eykZtZ5LODrf7c0tS,You Get Me So High,77SW9BnxLY8rJ0RciFqkHh,2018,0.881,0.551,0.0791,-6.099,88.036,0.387,High,Slow,Medium,Neutral,0.213237,0.8398509479546291,Very High,Low,0.6502701895909259
2K7xn816oNHJZ0aVqdQsha,Softcore,77SW9BnxLY8rJ0RciFqkHh,2018,0.568,0.575,0.000417,-5.509,93.986,0.37,Medium,Slow,Medium,Neutral,0.21275,0.8640104827812128,Very High,Low,0.5798020965562426
285pBltuF7vW8TeWk8hdRR,Lucid Dreams,4MCBfE4596Uoi2O4DtmEMz,2018,0.566,0.511,0.0,-7.23,83.903,0.218,Medium,Slow,Medium,Sad,0.111398,0.7935383481429916,Very High,None,0.5080076696285982
4VXIryQMWpIdGgYR4TrjT1,All Girls Are The Same,4MCBfE4596Uoi2O4DtmEMz,2018,0.529,0.671,0.000335,-7.226,161.989,0.203,Medium,Fast,Medium,Sad,0.136213,0.793702141599443,Very High,Low,0.5430404283198886
4jvjzW7Hm0yK4LvvE0Paz9,Falling Down - Bonus Track,2kCcBybjl3SAtIcwdWpUe3,2018,0.574,0.669,0.00294,-6.442,120.013,0.273,Medium,Medium,Medium,Sad,0.182637,0.8258056590639203,Very High,Low,0.5776111318127841
3jjsRKEsF42ccXf8kWR3nu,Washing Machine Heart,2uYWxilOVlUdk4oV9DvwqK,2018,0.822,0.613,0.506,-4.087,105.997,0.567,High,Medium,Medium,Neutral,0.3475709999999999,0.9222390565496908,Very High,Medium,0.7155978113099382
50a8bKqlwDEqeiEknrzkTO,ball w/o you,1URnnhqYAYcrqrcwql10ft,2018,0.633,0.892,0.000189,-7.471,137.994,0.459,Medium,Medium,High,Neutral,0.409428,0.7836697923917939,Very High,Low,0.6973339584783588
2ZRo7axmMPeSVUvDbGkJah,Hope,15UsOTVnJzReFVN1VCnxy4,2018,0.457,0.592,0.000331,-6.081,146.04,0.225,Medium,Fast,Medium,Sad,0.1331999999999999,0.8405880185086605,Very High,Low,0.5162176037017321
78QR3Wp35dqAhFEc2qAGjE,Drip Too Hard (Lil Baby & Gunna),5f7VJjfbwm532GiveGC0ZK,2018,0.662,0.897,0.0,-6.903,112.509,0.39,High,Medium,High,Neutral,0.34983,0.8069284632078948,Very High,None,0.693485692641579
0JP9xo3adEtGSdUEISiszL,Moonlight,15UsOTVnJzReFVN1VCnxy4,2018,0.537,0.921,0.00404,-5.723,128.009,0.711,Medium,Medium,High,Happy,0.654831,0.8552475328610621,Very High,Low,0.7593495065722123
75IQVo8hqI1iwVZyvkN2VT,Show Me How,3zmfs9cQwzJl575W1ZYXeT,2018,0.271,0.791,0.543,-11.959,166.002,0.564,Low,Fast,High,Neutral,0.4461239999999999,0.5998935342533065,High,Medium,0.5660287068506613
6IPwKM3fUUzlElbvKw2sKl,we fell in love in october,3uwAm6vQy7kWPS2bciKWx9,2018,0.366,0.566,0.181,-12.808,129.96,0.237,Medium,Medium,Medium,Sad,0.1341419999999999,0.5651283731214938,High,Low,0.4335756746242987
577YBGuskWkVDCxZrLRB4v,Pure Cocaine,5f7VJjfbwm532GiveGC0ZK,2018,0.487,0.964,6.07e-06,-6.071,127.05,0.108,Medium,Medium,High,Sad,0.104112,0.8409975021497891,Very High,Low,0.6061495004299577
0JIMT9gzLIIz0esKLyjbKf,Telephones,0U7iI0Dk4Ojvi17nZboNO4,2018,0.447,0.526,0.0301,-9.268,74.995,0.183,Medium,Slow,Medium,Sad,0.096258,0.7100855820809958,High,Low,0.4573171164161992
6vN77lE9LK6HP2DewaN6HZ,Yes Indeed,5f7VJjfbwm532GiveGC0ZK,2018,0.346,0.963,0.0,-9.309,119.957,0.562,Medium,Medium,High,Neutral,0.5412060000000001,0.7084066991523689,High,None,0.6575813398304738
474uVhyGgK5MtY9gMcDgGl,It's Called: Freefall,4hz8tIajF2INpgM0qzPJz2,2018,0.516,0.744,0.0,-6.365,97.944,0.281,Medium,Slow,High,Sad,0.209064,0.82895868310061,Very High,None,0.588241736620122
00RLNHc2jkEjUoCUlFgPVT,welcome and goodbye,0qZyvjwZauLmrobrpJmvib,2018,0.717,0.584,0.756,-5.175,140.031,0.659,High,Fast,Medium,Happy,0.384856,0.877687236394906,Very High,High,0.6947374472789812
7BqHUALzNBTanL6OvsqmC1,Happier,64KEffDW9EtZ1y2vBYgq8T,2018,0.792,0.687,0.0,-2.749,100.011,0.671,High,Medium,Medium,Happy,0.4609770000000001,0.977027967732689,Very High,None,0.7672555935465377
0qOCy2LqvdkMora7eZsJhQ,From the Subway Train,6ft7JnxMyZhp7N52qzHymY,2018,0.429,0.392,0.015,-10.279,72.104,0.105,Medium,Slow,Low,Sad,0.04116,0.6686867859629008,High,Low,0.3848373571925801
3oDkdAySo1VQQG0ptV7uwa,Lean Wit Me,4MCBfE4596Uoi2O4DtmEMz,2018,0.651,0.665,0.0,-5.515,163.935,0.237,High,Fast,Medium,Sad,0.157605,0.8637647925965357,Very High,None,0.5942529585193072
3s7MCdXyWmwjdcWh7GWXas,Violent Crimes,5K4W6rqBFWDnAN6FQUkS6x,2018,0.419,0.669,0.0,-6.724,109.813,0.0397,Medium,Medium,Medium,Sad,0.0265593,0.8142582203840956,Very High,None,0.4782266440768191
2xql0pid3EUwW38AsywxhV,Reflections,77SW9BnxLY8rJ0RciFqkHh,2018,0.594,0.648,0.0462,-7.027,113.983,0.544,Medium,Medium,Medium,Neutral,0.352512,0.8018508660579009,Very High,Low,0.6392701732115802
3R6yNicsZrWF8ybl02imcB,Charleston Girl (Live),13ZEDW6vyBF12HYcZRr4EV,2018,0.585,0.374,0.0,-9.436,176.859,0.654,Medium,Fast,Low,Happy,0.244596,0.7032062569100364,High,None,0.5625912513820073
0uI7yAKUf52Cn7y3sYyjiX,3 Nights,6USv9qhCn6zfxlBQIYJ9qs,2018,0.518,0.815,0.0,-6.594,151.891,0.877,Medium,Fast,High,Happy,0.7147549999999999,0.8195815077187665,Very High,None,0.7571663015437533
6rY5FAWxCdAGllYEOZMbjW,SLOW DANCING IN THE DARK,3MZsBdqDrRTJihTHQrO6Dq,2018,0.479,0.517,0.00598,-7.458,88.968,0.284,Medium,Slow,Medium,Sad,0.146828,0.784202121125261,Very High,Low,0.5026904242250522
2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,0Y5tJX1MQlPlqiwlOH1tJY,2018,0.73,0.834,0.0,-3.714,155.008,0.446,High,Fast,High,Neutral,0.371964,0.9375127963637852,Very High,None,0.7317025592727571
13xVnZKZDEGbmXkzBFpJDD,Silver Lining,69tiO1fG8VWduDl3ji2qhI,2018,0.638,0.486,0.0,-6.231,144.458,0.178,Medium,Fast,Medium,Sad,0.0865079999999999,0.8344457638917324,Very High,None,0.5166891527783465
27a1mYSG5tYg7dmEjWBcmL,CAN'T SAY,0Y5tJX1MQlPlqiwlOH1tJY,2018,0.708,0.702,0.0,-5.366,147.98,0.713,High,Fast,High,Happy,0.5005259999999999,0.869866098849351,Very High,None,0.7398232197698702
7D7e6hm2LiNd6nLuJF6K9Q,Hex,4F9apzBcSE0OSfHYbxo4RF,2018,0.398,0.845,0.00713,-15.781,109.996,0.482,Medium,Medium,High,Neutral,0.40729,0.4433888866139797,Low,Low,0.562177777322796
0e7ipj03S05BNilyu5bRzt,rockstar (feat. 21 Savage),246dkjvS1zLTtiykXe5h60,2018,0.52,0.585,7.75e-05,-6.136,159.798,0.129,Medium,Fast,Medium,Sad,0.075465,0.8383358584824536,Very High,Low,0.5054171716964907
09mEdoA6zrmBPgTEN5qXmN,Call Out My Name,1Xyo4u8uXC1ZmMpatF05PJ,2018,0.593,0.461,0.0,-4.954,134.165,0.174,Medium,Medium,Medium,Sad,0.080214,0.8867368248638466,Very High,None,0.5073973649727693
1otG6j1WHNvl9WgXLWkHTo,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",1U1el3k54VvEUzo3ybLPlM,2018,0.659,0.702,0.00201,-6.766,79.64,0.843,High,Slow,High,Happy,0.5917859999999999,0.8125383890913558,Very High,Low,0.7486076778182711
6LyAwkJsHlW7RQ8S1cYAtM,Overdue (with Travis Scott),0iEtIxbK0KxaSlF7G42ZOp,2018,0.401,0.634,0.000132,-11.212,150.174,0.494,Medium,Fast,Medium,Neutral,0.313196,0.6304819622456083,High,Low,0.5400463924491217
7ycWLEP1GsNjVvcjawXz3z,Praise The Lord (Da Shine) (feat. Skepta),13ubrt8QOOCPljQ2FL1Kca,2018,0.569,0.854,0.0816,-8.151,80.015,0.294,Medium,Slow,High,Sad,0.2510759999999999,0.7558249047950534,Very High,Low,0.6231149809590106
3Ol2xnObFdKV9pmRD2t9x8,Look Back at It,31W5EY0aAly4Qieq6OFu6I,2018,0.587,0.791,0.0,-5.075,96.057,0.536,Medium,Slow,High,Neutral,0.423976,0.8817820728061914,Very High,None,0.6944064145612383
1fewSx2d5KIZ04wsooEBOz,Space Cadet (feat. Gunna),0iEtIxbK0KxaSlF7G42ZOp,2018,0.464,0.901,1.82e-05,-9.789,109.004,0.638,Medium,Medium,High,Happy,0.5748380000000001,0.688751484378199,High,Low,0.6835502968756397
2t8yVaLvJ0RenpXUIAC52d,a lot,1URnnhqYAYcrqrcwql10ft,2018,0.636,0.837,0.00125,-7.643,145.972,0.274,Medium,Fast,High,Sad,0.229338,0.776626673764383,Very High,Low,0.6339253347528766
1rqqCSm0Qe4I9rUvWncaom,High Hopes,20JZFwl6HVl6yg8a4H3ZqK,2018,0.904,0.579,0.0,-2.729,82.014,0.681,High,Slow,Medium,Happy,0.394299,0.977846935014946,Very High,None,0.7655193870029892
3ee8Jmje8o58CHK66QrVC2,SAD!,15UsOTVnJzReFVN1VCnxy4,2018,0.613,0.74,0.00372,-4.88,75.023,0.473,Medium,Slow,High,Neutral,0.35002,0.8897670038081977,Very High,Low,0.6714534007616395
