track_id,track_name,artist_id,year,energy,danceability,instrumentalness,loudness,tempo,valence,energy_category,tempo_category,danceability_category,valence_category,danceability_valence_interaction,loudness_scaled,loudness_category,instrumentalness_category,custom_score
7xCcUcMcGsIYGKUVgBZUw5,We Own the Night,6guC9FqvlVboSKTI77NG2k,2015,0.905,0.226,0.0,-3.239,80.349,0.475,High,Slow,Low,Neutral,0.10735,0.9498667213450892,Very High,None,0.602773344269018
24bzJwjGBWtGCs7xKIKQsB,Wildflower,56ZTgzPBDge0OvCGgMO3OY,2015,0.508,0.44,0.525,-7.821,81.097,0.217,Medium,Slow,Medium,Sad,0.09548,0.7932813888319322,Very High,Medium,0.4719062777663865
1Q3t9fWvHUXKsMmpD2XpUu,Cold Cold Cold,26T3LtbuGT1Fu9m0eRq5X3,2015,0.789,0.549,6.7e-05,-6.071,136.125,0.715,High,Medium,Medium,Happy,0.392535,0.8530859134713964,Very High,Low,0.7113171826942792
46fHLVEQBcyC8VjnmdDF3q,All I See Is You,4pLxUMyDrijXynrUP59whJ,2015,0.789,0.391,9.95e-06,-6.166,126.544,0.338,High,Medium,Low,Neutral,0.132158,0.8498393821338255,Very High,Low,0.5690178764267652
3XoMtVDuIbmMQ9UKSShXti,Already,46SHBwWsqBkxI7EeeBEQG7,2015,0.516,0.773,0.0,-12.366,120.001,0.472,Medium,Medium,High,Neutral,0.364856,0.637960494839724,High,None,0.6064920989679448
1WM80A5a4xDtlndjqjZQIv,Girls Just Wanna Have Some,4tOVIRjlWWfR1RrAxyRqTE,2015,0.629,0.667,0.116,-8.493,115.002,0.455,Medium,Medium,Medium,Neutral,0.303485,0.770316451370378,Very High,Low,0.6251632902740756
7I5fYc4qKJddht8Ozhqqdx,Snapback,6y8XlgIV8BLlIg1tT1R10i,2015,0.793,0.687,3.46e-06,-3.577,100.993,0.673,High,Medium,Medium,Happy,0.462351,0.9383159045861528,Very High,Low,0.7602631809172306
0EfsDEYaSjGYd66Pr881nq,Cry Baby,77SW9BnxLY8rJ0RciFqkHh,2015,0.656,0.581,2.78e-06,-4.891,108.033,0.338,Medium,Medium,Medium,Neutral,0.196378,0.8934112500854351,Very High,Low,0.6014822500170871
4VOLwHXIrB5zktV7prPeOW,let's pretend we're numb,15UsOTVnJzReFVN1VCnxy4,2015,0.664,0.461,0.0,-5.762,99.011,0.569,High,Slow,Medium,Neutral,0.262309,0.8636456838220218,Very High,None,0.6192791367644044
67citk3uzWs5qbaIVKTeg8,Church Bells,4xFUf1FHVy696Q1JQZMTRj,2015,0.844,0.575,0.0,-1.772,87.007,0.542,High,Slow,Medium,Neutral,0.31165,1.0,Very High,None,0.7189999999999999
4WRRCuJYRq7gUKiupxVH9W,Nobody To Blame,4YLtscXsxbVgi031ovDDdh,2015,0.666,0.534,0.0615,-9.471,87.401,0.59,High,Slow,Medium,Neutral,0.31506,0.7368942656004375,High,Low,0.6215788531200874
3SKzTIl9mW0DadTys9SFo3,Control,26VFTg2z8YR0cCuwLzESi2,2015,0.675,0.55,0.0,-5.637,119.882,0.206,High,Medium,Medium,Sad,0.1133,0.8679174355819835,Very High,None,0.5588334871163967
1WoOzgvz6CgH4pX6a1RKGp,My Way (feat. Monty),6PXS4YHDkKvl1wkIl4V8DL,2015,0.741,0.748,0.0,-3.103,128.077,0.537,High,Medium,High,Neutral,0.401676,0.9545143872599277,Very High,None,0.7348028774519855
