track_id,track_name,artist_id,year,energy,danceability,instrumentalness,loudness,tempo,valence,energy_category,tempo_category,danceability_category,valence_category,danceability_valence_interaction,loudness_scaled,loudness_category,instrumentalness_category,custom_score
4xdBrk0nFZaP54vvZj0yx7,HOT TO GO!,7GlBOeep6PqTfFi59PTUUN,2023,0.757,0.742,0.0,-4.981,139.982,0.957,High,Medium,High,Happy,0.710094,0.9052483753717372,Very High,None,0.8321496750743475
4KULAymBBJcPRpk1yO4dOG,I Remember Everything (feat. Kacey Musgraves),40ZNYROS4zLfyyBSs2PGe2,2023,0.453,0.429,2e-06,-7.746,77.639,0.155,Medium,Slow,Medium,Sad,0.066495,0.8291111355876198,Very High,Low,0.446522227117524
7FOgcfdz9Nx5V9lCNXdBYv,Red Wine Supernova,7GlBOeep6PqTfFi59PTUUN,2023,0.82,0.657,0.0,-4.448,124.041,0.709,High,Medium,Medium,Happy,0.465813,0.9199251018834674,Very High,None,0.7633350203766935
1k2pQc5i348DCHwbn5KTdc,Pink Pony Club,7GlBOeep6PqTfFi59PTUUN,2023,0.65,0.61,0.0,-6.199,106.719,0.507,Medium,Medium,Medium,Neutral,0.30927,0.871709439365569,Very High,None,0.6465918878731138
7fveJ3pk1eSfxBdVkzdXZ0,Cowgirls (feat. ERNEST),4oUHIQIBe0LHzYfvXNW4QM,2023,0.779,0.621,8.62e-06,-3.777,172.037,0.399,High,Fast,Medium,Neutral,0.247779,0.93840180636634,Very High,Low,0.668480361273268
3WSOUb3U7tqURbBSgZTrZX,Casual,7GlBOeep6PqTfFi59PTUUN,2023,0.411,0.508,0.0,-6.95,131.008,0.34,Medium,Medium,Medium,Neutral,0.17272,0.8510298491023242,Very High,None,0.5103559698204648
0PAcdVzhPO4gq1Iym9ESnK,Thinkin’ Bout Me,4oUHIQIBe0LHzYfvXNW4QM,2023,0.789,0.659,0.0,-5.723,139.982,0.468,High,Medium,Medium,Neutral,0.308412,0.8848166097587841,Very High,None,0.6889133219517568
1XBYiRV30ykHw5f4wm6qEn,NIGHTS LIKE THIS,2tIP7SsRs7vjIcLrU85W8J,2023,0.757,0.482,0.0016,-4.586,142.579,0.12,High,Fast,Medium,Sad,0.0578399999999999,0.9161251239123251,Very High,Low,0.5470750247824651
17phhZDn6oGtzMe56NuWvj,Lose Control,33qOK5uJ8AR2xuQQAhHump,2023,0.604,0.561,1.9e-05,-4.409,159.92,0.242,Medium,Fast,Medium,Sad,0.135762,0.920999008701399,Very High,Low,0.5639998017402799
53IRnAWx13PYmoVYtemUBS,Femininomenon,7GlBOeep6PqTfFi59PTUUN,2023,0.758,0.609,5.38e-06,-4.885,124.949,0.236,High,Medium,Medium,Sad,0.143724,0.9078918383081838,Very High,Low,0.6127783676616367
5W4kiM2cUYBJXKRudNyxjW,You Proof,4oUHIQIBe0LHzYfvXNW4QM,2023,0.818,0.728,0.0,-5.068,119.706,0.681,High,Medium,High,Happy,0.495768,0.9028527370855822,Very High,None,0.7737205474171164
0eBFgRxyVSeuT4iyrbukdn,Where the Wild Things Are,718COspgdWOnwOFpJHRZHS,2023,0.731,0.708,4.47e-06,-4.872,116.975,0.379,High,Medium,High,Neutral,0.268332,0.9082498072474944,Very High,Low,0.6715499614494989
2Zo1PcszsT9WQ0ANntJbID,Feather,74KM79TiuVKeVCqs8QtB0B,2023,0.694,0.791,1.75e-06,-4.332,123.508,0.826,High,Medium,High,Happy,0.653366,0.9231192862650072,Very High,Low,0.8019238572530014
7K3BhSpAxZBznislvUMVtn,Last Night,4oUHIQIBe0LHzYfvXNW4QM,2023,0.673,0.492,0.0,-5.431,203.812,0.488,High,Fast,Medium,Neutral,0.240096,0.8928571428571429,Very High,None,0.6164214285714286
32fSZSbxeVoiZShMQKLc6Z,My Kink Is Karma,7GlBOeep6PqTfFi59PTUUN,2023,0.599,0.555,0.0,-5.695,86.727,0.415,Medium,Slow,Medium,Neutral,0.230325,0.8855876197819144,Very High,None,0.597117523956383
3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,2uYWxilOVlUdk4oV9DvwqK,2023,0.308,0.504,0.135,-14.958,113.95,0.121,Low,Medium,Medium,Sad,0.060984,0.6305209824870581,High,Low,0.3845541964974116
4pCbJC43j3gSqG6Fen6upD,Hey Driver (feat. The War and Treaty),40ZNYROS4zLfyyBSs2PGe2,2023,0.351,0.583,0.0,-5.836,79.014,0.462,Low,Slow,Medium,Neutral,0.269346,0.8817050335940082,Very High,None,0.5544910067188016
4rXLjWdF2ZZpXCVTfWcshS,fukumean,2hlmm7s2ICUX0LVIhVFlZQ,2023,0.622,0.847,0.0,-6.747,130.001,0.22,Medium,Medium,High,Sad,0.18634,0.8566196717700187,Very High,None,0.6359239343540037
42VsgItocQwOQC3XWZ8JNA,FE!N (feat. Playboi Carti),0Y5tJX1MQlPlqiwlOH1tJY,2023,0.882,0.569,0.0,-2.777,148.038,0.201,High,Fast,Medium,Sad,0.114369,0.9659378786209936,Very High,None,0.6346375757241988
1Lo0QY9cvc8sUB2vnIOxDT,Fast Car,718COspgdWOnwOFpJHRZHS,2023,0.603,0.712,0.0,-5.52,97.994,0.67,Medium,Slow,High,Happy,0.47704,0.8904064324264788,Very High,None,0.7099312864852957
3xOi0YhDREKRURFHoNaAOQ,Nine Ball,40ZNYROS4zLfyyBSs2PGe2,2023,0.658,0.597,0.0,-4.38,134.545,0.38,Medium,Medium,Medium,Neutral,0.22686,0.9217975547967838,Very High,None,0.6229595109593568
22VHOlVYBqytsrAqV8yXBK,Dial Drunk (with Post Malone),2RQXRUsr4IW1f3mKyKsy4B,2023,0.606,0.669,0.0,-7.193,112.108,0.69,Medium,Medium,Medium,Happy,0.4616099999999999,0.8443385835444432,Very High,None,0.6935677167088886
0HEytGQM3bG1vKxER7IgVK,Spotless (feat. The Lumineers),40ZNYROS4zLfyyBSs2PGe2,2023,0.444,0.604,0.0,-7.695,72.129,0.169,Medium,Slow,Medium,Sad,0.102076,0.8305154752726072,Very High,None,0.5005530950545215
4QTlxavdQGUVitxAvQqqkU,Mmhmm,6qxpnaukVayrQn6ViNvu9I,2023,0.682,0.93,0.0,-8.799,126.003,0.962,High,Medium,High,Happy,0.89466,0.8001156515034696,Very High,None,0.8500231303006939
7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)",1Xyo4u8uXC1ZmMpatF05PJ,2023,0.64,0.264,2.31e-06,-6.221,84.828,0.19,Medium,Slow,Low,Sad,0.05016,0.8711036457759666,Very High,Low,0.4609207291551933
3rUGC1vUpkDG9CZFHMur1t,greedy,45dkTj5sMRSjrmBSBeiHym,2023,0.729,0.749,0.0,-3.19,111.004,0.816,High,Medium,High,Happy,0.611184,0.9545654807798216,Very High,None,0.8018630961559643
1rNSCrsOoWyhKH4g47mehU,Super Graphic Ultra Modern Girl,7GlBOeep6PqTfFi59PTUUN,2023,0.905,0.646,7.93e-06,-4.526,125.891,0.787,High,Medium,Medium,Happy,0.508402,0.9177772882476044,Very High,Low,0.8003554576495209
