artist_id,artist_name,popularity,genres,year,simplified_genre
6LuN9FCkKOj5PcnpouEgny,Khalid,85,"['pop', 'pop r&b']",2021,Pop
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,88,"['dance pop', 'pop', 'uk pop']",2021,Pop
22wbnEMDvgVIAGdFeek6ET,Benson Boone,85,['singer-songwriter pop'],2021,Pop
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,90,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",2021,Pop
50co4Is1HCEo8bhOyUWKpn,Young Thug,83,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']",2021,Hip Hop
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,88,"['modern rock', 'pop', 'rock']",2021,Rock
4LLpKhyESsyAXpc4laK94U,Mac Miller,82,"['hip hop', 'pittsburgh rap', 'rap']",2021,Hip Hop
6qxpnaukVayrQn6ViNvu9I,BigXthaPlug,79,['southern hip hop'],2021,Hip Hop
7CajNmpbOovFoOoasH2HaY,Calvin Harris,87,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",2021,Pop
13ZEDW6vyBF12HYcZRr4EV,Tyler Childers,79,"['kentucky indie', 'kentucky roots', 'outlaw country']",2021,Indie
6XyY86QOPPrYVGvF9ch6wz,Linkin Park,86,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",2021,Metal
0elWFr7TW8piilVRYJUe4P,Natanael Cano,88,"['corrido', 'corridos tumbados', 'musica mexicana', 'sad sierreno', 'sierreno']",2021,Other
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,85,"['british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",2021,Rock
4tuJ0bMpJh08umKkEXKUI5,Gracie Abrams,83,['alt z'],2021,Other
2kCcBybjl3SAtIcwdWpUe3,Lil Peep,83,"['cloud rap', 'emo rap', 'lgbtq+ hip hop']",2021,Rap
46SHBwWsqBkxI7EeeBEQG7,Kodak Black,81,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']",2021,Rap
3hcs9uc56yIGFCSy9leWe7,Lil Durk,81,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",2021,Rap
2EMAnMvWE2eb56ToJVfCWs,Bryson Tiller,81,"['kentucky hip hop', 'r&b', 'rap']",2021,Hip Hop
57vWImR43h4CaDao012Ofp,Steve Lacy,81,['afrofuturism'],2021,Other
2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,83,['australian hip hop'],2021,Hip Hop
3l0CmX0FuQjFxr8SK7Vqag,Clairo,81,"['bedroom pop', 'indie pop', 'pov: indie']",2021,Pop
0Y6dVaC9DZtPNH4591M42W,TV Girl,82,['pov: indie'],2021,Indie
3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,83,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",2021,Hip Hop
0QUBaF6Rtta4TTmxYYfzux,White Noise Radiance,81,['shush'],2021,Other
3gBZUcNeVumkeeJ19CY2sX,Ken Carson,80,['rage rap'],2021,Rap
2uYWxilOVlUdk4oV9DvwqK,Mitski,83,"['brooklyn indie', 'pov: indie']",2021,Indie
4rXABp4A7KjG9elWFNAbO4,Miracle Tones,81,"['healing hz', 'meditation']",2021,Other
66ihevNkSYNzRAl44dx6jJ,Carin Leon,86,"['corrido', 'musica mexicana', 'sad sierreno', 'sierreno']",2021,Other
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,87,"['pop', 'singer-songwriter pop', 'uk pop']",2021,Pop
6icQOAFXDZKsumw3YXyusw,Lil Yachty,80,"['atl hip hop', 'melodic rap', 'rap', 'trap']",2021,Hip Hop
6Xgp2XMz1fhVYe7i6yNAax,Trippie Redd,80,"['melodic rap', 'rap', 'trap']",2021,Rap
3qiHUAX7zY4Qnjx8TNUzVx,Yeat,81,"['pluggnb', 'rage rap']",2021,Rap
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,82,"['album rock', 'classic rock', 'rock', 'soft rock', 'yacht rock']",2021,Rock
5nSGBmlgUdqWNExnOX8VtV,Rain Sounds,80,"['environmental', 'sleep', 'sound', 'water']",2021,Other
1WaFQSHVGZQJTbf0BdxdNo,Tommy Richman,82,['chill abstract hip hop'],2021,Hip Hop
6AgTAQt8XS6jRWi4sX7w49,Polo G,80,"['chicago rap', 'rap']",2021,Rap
0TnOYISbd1XYRBk9myaseg,Pitbull,85,"['dance pop', 'miami hip hop', 'pop']",2021,Pop
3y2cIKLjiOlp1Np37WiUdH,Shaboozey,81,['pop rap'],2021,Pop
6jJ0s89eD6GaHleKKya26X,Katy Perry,85,['pop'],2021,Pop
0pePYDrJGk8gqMRbXrLJC8,Luis R Conriquez,84,"['corrido', 'norteno', 'sad sierreno', 'sierreno']",2021,Other
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,87,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",2021,Reggae
04gDigrS5kc9YWfZHwBETP,Maroon 5,85,['pop'],2021,Pop
64KEffDW9EtZ1y2vBYgq8T,Marshmello,83,"['brostep', 'edm', 'pop', 'progressive electro house']",2021,Pop
77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,84,"['modern alternative rock', 'modern rock', 'pop']",2021,Rock
2R21vXR83lH98kGeO99Y66,Anuel AA,88,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']",2021,Reggae
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,85,"['art pop', 'dance pop', 'pop']",2021,Pop
1i8SpTcr7yvPOmcqrbnVXY,Ozuna,87,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",2021,Pop
6KImCVD70vtIoJWnq6nGn3,Harry Styles,84,['pop'],2021,Pop
0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,83,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",2021,Rock
2dIgFjalVxs4ThymZ67YCE,Stray Kids,85,"['k-pop', 'k-pop boy group', 'pop']",2021,Pop
7iK8PXO48WeuP03g8YR51W,Myke Towers,88,"['reggaeton', 'trap latino', 'urbano latino']",2021,Reggae
33qOK5uJ8AR2xuQQAhHump,Teddy Swims,83,[],2021,Other
3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,82,"['modern rock', 'pop', 'pov: indie', 'rock']",2021,Rock
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,85,"['piano rock', 'pop']",2021,Rock
