id,name,artist_id,year,popularity,release_date,energy,danceability,instrumentalness,loudness,tempo,valence,energy_category,tempo_category,danceability_category,valence_category,danceability_valence_interaction,loudness_scaled,loudness_category,instrumentalness_category,custom_score
3FU6urUVsgXa6RBuV2PdRk,Heartless (feat. Morgan Wallen),5fMUXHkw8R8eOP2RNVYEZX,2020,82,2020-05-29,0.556,0.765,0.0,-6.417,111.033,0.274,Medium,Medium,High,Sad,0.20961,0.8208858823129482,Very High,None,0.6011771764625897
2UikqkwBv7aIvlixeVXHWt,You Should Probably Leave,4YLtscXsxbVgi031ovDDdh,2020,83,2020-11-13,0.477,0.602,3.1e-05,-8.425,183.89,0.552,Medium,Fast,Medium,Neutral,0.332304,0.7526260325662031,Very High,Low,0.5883752065132406
3hxIUxnT27p5WcmjGUXNwx,Shut up My Moms Calling,35WVTyRnKAoaGExqgktVyb,2020,87,2020-02-10,0.409,0.485,0.0,-10.711,138.419,0.376,Medium,Medium,Medium,Neutral,0.18236,0.6749158649760342,High,None,0.4767331729952068
3jHdKaLCkuNEkWcLVmQPCX,BEST INTEREST,4V8LLVI7PbaPR0K2TGSxFF,2020,82,2020-01-25,0.575,0.596,0.000153,-8.325,98.265,0.34,Medium,Slow,Medium,Neutral,0.20264,0.7560254274739096,Very High,Low,0.5587550854947819
3USxtqRwSYz57Ewm6wWRMp,Heat Waves,4yvcSjfu4PC0CYQyLy4wSq,2020,87,2020-08-07,0.525,0.761,6.7e-06,-6.9,80.87,0.531,Medium,Slow,High,Neutral,0.404091,0.8044668049087261,Very High,Low,0.6531933609817453
2QfX9Pdz3q66fN3kCXl0Js,Revival,40ZNYROS4zLfyyBSs2PGe2,2020,79,2020-05-08,0.366,0.464,1.58e-05,-9.025,78.846,0.328,Medium,Slow,Medium,Neutral,0.152192,0.7322296631199645,High,Low,0.4591459326239929
3hUxzQpSfdDqwM3ZTFQY0K,august,06HL4z0CvFAxyc27GXpf02,2020,87,2020-07-24,0.623,0.532,7.28e-05,-9.208,89.937,0.403,Medium,Slow,Medium,Neutral,0.214396,0.7260087704388618,High,Low,0.5613017540877724
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,1Xyo4u8uXC1ZmMpatF05PJ,2020,89,2020-03-20,0.73,0.513,9.54e-05,-5.94,171.001,0.334,High,Fast,Medium,Neutral,0.171342,0.8371009960227078,Very High,Low,0.5873201992045416
6pcywuOeGGWeOQzdUyti6k,Glock In My Lap,1URnnhqYAYcrqrcwql10ft,2020,82,2020-10-02,0.733,0.847,1.04e-05,-6.439,130.029,0.202,High,Medium,High,Sad,0.171094,0.8201380154332528,Very High,Low,0.6518776030866505
0f8eRy9A0n6zXpKSHSCAEp,Infrunami,57vWImR43h4CaDao012Ofp,2020,81,2020-12-04,0.299,0.826,0.0952,-7.721,97.012,0.215,Low,Slow,High,Sad,0.17759,0.7765577727164563,Very High,Low,0.5316115545432912
6J2LdBN97cDWn0MLxYh9HB,July,55fhWPvDiMpLnE4ZzNXZyW,2020,83,2020-05-15,0.186,0.708,0.0,-8.953,72.541,0.322,Low,Slow,High,Neutral,0.2279759999999999,0.7346772274535132,High,None,0.4863354454907026
5SWnsxjhdcEDc7LJjq9UHk,Runnin,1URnnhqYAYcrqrcwql10ft,2020,81,2020-10-02,0.626,0.819,0.101,-4.574,143.01,0.415,Medium,Fast,High,Neutral,0.3398849999999999,0.8835367304619777,Very High,Low,0.6826573460923956
2J6OF7CkpdQGSfm1wdclqn,Clouded,3tlXnStJ1fFhdScmQeLpuG,2020,79,2020-02-07,0.344,0.583,0.0,-8.765,65.203,0.581,Medium,Slow,Medium,Neutral,0.3387229999999999,0.7410680898800013,High,None,0.5543636179760002
6tDDoYIxWvMLTdKpjFkc1B,telepatía,1U1el3k54VvEUzo3ybLPlM,2020,82,2020-12-04,0.524,0.653,0.0,-9.016,83.97,0.553,Medium,Slow,Medium,Neutral,0.361109,0.7325356086616581,High,None,0.6116571217323316
0HTIrbUwwFn984RzVZm5Fk,Yale,3gBZUcNeVumkeeJ19CY2sX,2020,79,2020-08-14,0.442,0.728,8.21e-06,-10.095,142.025,0.441,Medium,Fast,High,Neutral,0.321048,0.6958561376075058,High,Low,0.5783212275215012
7s5VQqrjBtrBgZL4pEa46S,Romantic Lover,3XxNRirzbjfLdDli06zMaB,2020,80,2020-08-07,0.447,0.658,0.924,-9.299,184.316,0.538,Medium,Fast,Medium,Neutral,0.354004,0.722915321072849,High,High,0.5882330642145698
1VLtjHwRWOVJiE5Py7JxoQ,Martin & Gina,6AgTAQt8XS6jRWi4sX7w49,2020,79,2020-05-15,0.534,0.832,0.0,-7.813,93.924,0.116,Medium,Slow,High,Sad,0.096512,0.7734303294013665,Very High,None,0.5667860658802734
3K07bGe8iljQ3mOKArHLDo,Starting Over,4YLtscXsxbVgi031ovDDdh,2020,76,2020-11-13,0.538,0.638,0.000415,-8.445,89.124,0.318,Medium,Slow,Medium,Neutral,0.202884,0.7519461535846619,Very High,Low,0.5557892307169323
