id,name,artist_id,year,popularity,release_date,energy,danceability,instrumentalness,loudness,tempo,valence,energy_category,tempo_category,danceability_category,valence_category,danceability_valence_interaction,loudness_scaled,loudness_category,instrumentalness_category,custom_score
3xKsf9qdS1CyvXSMEid6g8,Pink + White,2h93pZq0e7k5yf4dywlkpM,2016,88,2016-08-20,0.545,0.545,5.48e-05,-7.362,159.94,0.549,Medium,Fast,Medium,Neutral,0.299205,0.827599753072563,Very High,Low,0.6025199506145127
3IznIgmXtrUaoPWpQTy5jB,Not Allowed,0Y6dVaC9DZtPNH4591M42W,2016,85,2016-02-25,0.905,0.67,0.000227,-6.855,104.965,0.563,High,Medium,Medium,Neutral,0.37721,0.8418261406363993,Very High,Low,0.7363652281272799
6QeYSvYqYUsfBzsApbjDHO,Cigarettes out the Window,0Y6dVaC9DZtPNH4591M42W,2016,84,2016-02-25,0.659,0.625,0.0,-5.669,113.551,0.594,Medium,Medium,Medium,Neutral,0.3712499999999999,0.8751052247600875,Very High,None,0.6757710449520176
2ZWlPOoWh0626oTaHrnl2a,Ivy,2h93pZq0e7k5yf4dywlkpM,2016,83,2016-08-20,0.386,0.575,0.000289,-9.584,116.408,0.466,Medium,Medium,Medium,Neutral,0.26795,0.7652505752286884,Very High,Low,0.5385501150457377
4KW1lqgSr8TKrvBII0Brf8,Father Stretch My Hands Pt. 1,5K4W6rqBFWDnAN6FQUkS6x,2016,84,2016-06-10,0.573,0.724,0.0,-4.113,113.088,0.438,Medium,Medium,High,Neutral,0.317112,0.9187664852124136,Very High,None,0.6537032970424826
1zi7xx7UVEFkmKfv06H8x0,One Dance,3TVXtAsR1Inumwj472S9r4,2016,87,2016-05-06,0.625,0.792,0.0018,-5.609,103.967,0.37,Medium,Medium,High,Neutral,0.29304,0.8767888209214882,Very High,Low,0.6617077641842977
4riDfclV7kPDT9D58FpmHd,Some,57vWImR43h4CaDao012Ofp,2016,82,2016-10-31,0.554,0.784,0.254,-6.417,104.01,0.634,Medium,Medium,High,Happy,0.497056,0.8541163926146247,Very High,Low,0.7030232785229249
2LMkwUfqC6S6s6qDVlEuzV,White Ferrari,2h93pZq0e7k5yf4dywlkpM,2016,82,2016-08-20,0.0958,0.501,0.0,-15.605,108.741,0.204,Low,Medium,Medium,Sad,0.1022039999999999,0.5963017004321229,High,None,0.3445103400864245
6gBFPUFcJLzWGx4lenP6h2,goosebumps,0Y5tJX1MQlPlqiwlOH1tJY,2016,86,2016-09-16,0.728,0.841,0.0,-3.37,130.049,0.43,High,Medium,High,Neutral,0.36163,0.9396150176777596,Very High,None,0.7297230035355519
7MXVkk9YMctZqd1Srtv4MB,Starboy,1Xyo4u8uXC1ZmMpatF05PJ,2016,89,2016-11-25,0.587,0.679,6.35e-06,-7.015,186.003,0.486,Medium,Fast,Medium,Neutral,0.329994,0.8373365508726639,Very High,Low,0.6394173101745328
0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,0du5cEVh5yTK9QJze8zA0C,2016,86,2016-11-17,0.56,0.853,0.0,-4.961,134.066,0.86,Medium,Medium,High,Happy,0.73358,0.8949716594646163,Very High,None,0.7898943318929232
14AyWf6y7KlWWLfAjdKMKI,Ophelia,16oZKvXb6WkQlVAjwo2Wbg,2016,82,2016-04-08,0.573,0.664,0.000363,-6.519,76.023,0.566,Medium,Slow,Medium,Neutral,0.375824,0.8512542791402434,Very High,Low,0.6542008558280487
5gDWsRxpJ2lZAffh5p7K0w,Stargirl Interlude,1Xyo4u8uXC1ZmMpatF05PJ,2016,83,2016-11-24,0.47,0.715,0.0923,-12.638,89.965,0.426,Medium,Slow,High,Neutral,0.3045899999999999,0.6795555306133901,High,Low,0.574411106122678
5NijSs5dAwaIybq1GaRTIe,Poison,3tlXnStJ1fFhdScmQeLpuG,2016,79,2016-08-03,0.394,0.689,0.000905,-10.102,117.489,0.382,Medium,Medium,Medium,Neutral,0.263198,0.7507155283685952,Very High,Low,0.550843105673719
2Co0IjcLTSHMtodwD4gzfg,I Bet on Losing Dogs,2uYWxilOVlUdk4oV9DvwqK,2016,82,2016-06-17,0.493,0.398,0.000157,-9.561,82.048,0.412,Medium,Slow,Low,Neutral,0.163976,0.7658959537572254,Very High,Low,0.4988291907514451
0WtDGnWL2KrMCk0mI1Gpwz,Redbone,73sIBHcqh3Z3NyqHKZ7FOL,2016,81,2016-12-02,0.353,0.745,0.00662,-10.614,160.111,0.598,Medium,Fast,High,Neutral,0.4455099999999999,0.7363488411246422,High,Low,0.6085197682249284
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,4IWBUUAFIplrNtaOHcJPRM,2016,87,2016-10-28,0.557,0.358,0.0,-7.398,85.043,0.494,Medium,Slow,Low,Neutral,0.1768519999999999,0.8265895953757225,Very High,None,0.5354679190751445
4pAl7FkDMNBsjykPXo91B3,Needed Me,5pKCCKE2ajJHZ9KAiaK11H,2016,82,2016-01-28,0.315,0.697,0.0,-8.091,110.872,0.298,Low,Medium,Medium,Sad,0.2077059999999999,0.8071440597115438,Very High,None,0.5237788119423088
0Z57YWES04xGh3AImDz6Qr,Real Love Baby,2kGBy2WHvF0VdZyqiVCkDT,2016,79,2016-07-26,0.686,0.417,0.0287,-6.484,204.113,0.625,High,Fast,Medium,Happy,0.260625,0.8522363769010606,Very High,Low,0.6232972753802121
0bPnT6i9H1p8Vd85GS6Z7I,Night Shift,4MoAOfV4ROWofLG3a3hhBN,2016,76,2016-05-13,0.754,0.631,0.0,-3.564,95.992,0.729,High,Slow,Medium,Happy,0.459999,0.9341713900892304,Very High,None,0.7468842780178462
5UGAXwbA17bUC0K9uquGY2,Antarctica,1VPmR4DJC1PlOtd0IADAO0,2016,77,2016-01-26,0.633,0.715,4.45e-06,-6.869,105.945,0.319,Medium,Medium,High,Neutral,0.2280849999999999,0.8414333015320724,Very High,Low,0.6207866603064145
7eqoqGkKwgOaWNNHx90uEZ,Nights,2h93pZq0e7k5yf4dywlkpM,2016,79,2016-08-20,0.551,0.457,1.15e-06,-9.36,89.87,0.428,Medium,Slow,Medium,Neutral,0.195596,0.7715360008979179,Very High,Low,0.5361572001795836
0azC730Exh71aQlOt9Zj3y,This Is What You Came For,7CajNmpbOovFoOoasH2HaY,2016,85,2016-04-29,0.927,0.631,0.119,-2.787,123.962,0.465,High,Medium,Medium,Neutral,0.293415,0.9559739603793702,Very High,Low,0.7284947920758741
7BKLCZ1jbUBVqRi2FVlTVw,Closer,69GGBxA162lTqCwzJG5jLp,2016,84,2016-07-29,0.524,0.748,0.0,-5.599,95.01,0.661,Medium,Slow,High,Happy,0.494428,0.8770694202817216,Very High,None,0.6960638840563445
2LBqCSwhJGcFQeTHMVGwy3,Die For You,1Xyo4u8uXC1ZmMpatF05PJ,2016,85,2016-11-24,0.525,0.586,0.0,-7.163,133.629,0.508,Medium,Medium,Medium,Neutral,0.297688,0.8331836803412087,Very High,None,0.6006867360682417
3a1lNhkSLSkpJE4MSHpDu9,Congratulations,246dkjvS1zLTtiykXe5h60,2016,80,2016-12-09,0.804,0.63,0.0,-4.183,123.146,0.492,High,Medium,Medium,Neutral,0.30996,0.9168022896907794,Very High,None,0.6963604579381559
7f08qp3HROTkfrtNpiYGGo,Dirt On My Boots,4MoAOfV4ROWofLG3a3hhBN,2016,75,2016-05-13,0.796,0.683,0.0,-4.179,90.031,0.533,High,Slow,Medium,Neutral,0.364039,0.9169145294348728,Very High,None,0.7205329058869746
0y1QJc3SJVPKJ1OvFmFqe6,Way down We Go,7jdFEYD2LTYjfwxOdlVjmc,2016,84,2016-06-10,0.505,0.489,0.000333,-8.022,163.255,0.337,Medium,Fast,Medium,Neutral,0.164793,0.8090801952971546,Very High,Low,0.519016039059431
0w3Q14i073jLoew1hgJkwD,Heartache On The Dance Floor,4MoAOfV4ROWofLG3a3hhBN,2016,74,2016-05-13,0.833,0.596,0.0,-4.308,115.997,0.618,High,Medium,Medium,Happy,0.368328,0.9132947976878611,Very High,None,0.7242089595375722
4AFsRbaLKRWo3dDtjDFA2V,Me and Your Mama,73sIBHcqh3Z3NyqHKZ7FOL,2016,79,2016-12-02,0.442,0.545,0.0271,-12.111,118.073,0.242,Medium,Medium,Medium,Sad,0.13189,0.6943431168976933,High,Low,0.4733686233795386
4ly1QBXEwYoDmje9rmEgC4,Head Over Boots,4MoAOfV4ROWofLG3a3hhBN,2016,74,2016-05-13,0.688,0.562,0.0,-4.474,108.017,0.617,High,Medium,Medium,Happy,0.346754,0.9086368483079856,Very High,None,0.6765773696615972
5oO3drDxtziYU2H1X23ZIp,Love On The Brain,5pKCCKE2ajJHZ9KAiaK11H,2016,83,2016-01-28,0.637,0.509,1.08e-05,-4.83,172.007,0.379,Medium,Fast,Medium,Neutral,0.192911,0.8986475110836747,Very High,Low,0.586429502216735
3jfZ9M23l0L7RxzYMTgBTv,Looking Out for You,4jCIAMb0zEArF3GYEYzoDk,2016,78,2016-01-15,0.9,0.682,0.063,-5.028,100.721,0.937,High,Medium,Medium,Happy,0.6390340000000001,0.8930916437510521,Very High,Low,0.8424683287502105
7EiZI6JVHllARrX9PUvAdX,Low Life (feat. The Weeknd),1RyvyyTE3xzB2ZywiAwp0i,2016,78,2016-04-13,0.331,0.722,0.282,-7.789,143.961,0.102,Low,Fast,High,Sad,0.0736439999999999,0.8156181603905942,Very High,Low,0.4879736320781189
5GUYJTQap5F3RDQiCOJhrS,Self Control,2h93pZq0e7k5yf4dywlkpM,2016,77,2016-08-20,0.21,0.581,0.0,-10.426,80.099,0.452,Low,Slow,Medium,Neutral,0.262612,0.7416241090970312,High,None,0.4881248218194062
53mChDyESfwn9Dz8poHRf6,Taking What's Not Yours,0Y6dVaC9DZtPNH4591M42W,2016,78,2016-02-25,0.914,0.712,0.0,-5.675,100.406,0.697,High,Medium,High,Happy,0.4962639999999999,0.8749368651439473,Very High,None,0.7913373730287894
