id,name,artist_id,year,popularity,release_date,energy,danceability,instrumentalness,loudness,tempo,valence,energy_category,tempo_category,danceability_category,valence_category,danceability_valence_interaction,loudness_scaled,loudness_category,instrumentalness_category,custom_score
3cBsEDNhFI9E82vPj3kvi3,Wasted On You,4oUHIQIBe0LHzYfvXNW4QM,2021,82,2021-01-08,0.657,0.505,0.00107,-5.24,196.0,0.252,Medium,Fast,Medium,Sad,0.12726,0.8975914594453848,Very High,Low,0.5582682918890769
69AIpwGNLxr4qS1X5ynx60,Buy Dirt,77kULmXAQ6vWer7IIHdGzI,2021,80,2021-05-21,0.559,0.586,0.0,-6.725,177.945,0.437,Medium,Fast,Medium,Neutral,0.256082,0.8589246191902097,Very High,None,0.596584923838042
4S4QJfBGGrC8jRIjJHf1Ka,Pain,78rUTD7y6Cy67W1RVzYs7t,2021,83,2021-10-15,0.617,0.829,0.00306,-8.497,125.605,0.81,Medium,Medium,High,Happy,0.67149,0.8127847936466606,Very High,Low,0.7680069587293321
3azJifCSqg9fRij2yKIbWz,The Color Violet,2jku7tDXc6XoB6MO2hFuqg,2021,84,2021-12-10,0.534,0.645,0.0,-10.8,105.02,0.463,Medium,Medium,Medium,Neutral,0.298635,0.7528186434058066,Very High,None,0.5933137286811614
5OELUCYgOHKFAvCERnAvfS,More Than My Hometown,4oUHIQIBe0LHzYfvXNW4QM,2021,79,2021-01-08,0.869,0.62,0.0,-5.479,126.019,0.597,High,Medium,Medium,Neutral,0.3701399999999999,0.8913683114177842,Very High,None,0.7307736622835568
4XvcHTUfIlWfyJTRG0aqlo,2055,6EPlBSH2RSiettczlz7ihV,2021,82,2021-06-02,0.512,0.829,0.0,-5.865,80.511,0.638,Medium,Slow,High,Happy,0.528902,0.8813175367790652,Very High,None,0.7124635073558131
4obHzpwGrjoTuZh2DItEMZ,7 Summers,4oUHIQIBe0LHzYfvXNW4QM,2021,78,2021-01-08,0.786,0.466,6.1e-05,-5.13,203.903,0.571,High,Fast,Medium,Neutral,0.266086,0.900455669834657,Very High,Low,0.6591411339669314
3QFInJAm9eyaho5vBzxInN,family ties (with Kendrick Lamar),5SXuuuRpukkTvsLuUknva1,2021,80,2021-09-10,0.611,0.711,0.0,-5.453,134.093,0.144,Medium,Medium,High,Sad,0.1023839999999999,0.892045306600703,Very High,None,0.5804590613201406
6RiiSy9GzSwiyDEJDiMuKe,Something About You,3XxNRirzbjfLdDli06zMaB,2021,82,2021-08-27,0.781,0.648,0.013,-8.736,133.417,0.822,High,Medium,Medium,Happy,0.532656,0.8065616456190601,Very High,Low,0.756462329123812
4ZtFanR9U6ndgddUvNcjcG,good 4 u,1McMsnEElThX1knmY4oliG,2021,83,2021-05-21,0.664,0.563,0.0,-5.044,166.928,0.688,Medium,Fast,Medium,Happy,0.3873439999999999,0.9026949615935426,Very High,None,0.6874389923187084
1MX19fnaW1OUQoglWTYaOo,Dangerous,4oUHIQIBe0LHzYfvXNW4QM,2021,76,2021-01-08,0.772,0.635,0.0,-4.825,119.017,0.948,High,Medium,Medium,Happy,0.60198,0.9083973440958208,Very High,None,0.8021794688191642
5JCoSi02qi3jJeHdZXMmR8,favorite crime,1McMsnEElThX1knmY4oliG,2021,83,2021-05-21,0.272,0.369,0.0,-10.497,172.929,0.218,Low,Fast,Low,Sad,0.080442,0.7607082411144382,Very High,None,0.3853416482228876
7EkWXAI1wn8Ii883ecd9xr,Freaks,1gl0S9pS0Zw0qfa14rDD3D,2021,83,2021-05-15,0.941,0.345,0.633,-9.918,179.626,0.407,High,Fast,Low,Neutral,0.1404149999999999,0.7757844030725166,Very High,Medium,0.5956568806145033
3SeDS5sSoWnwAZvVgkdKzf,Better in the Dark,5Bw9kFNhy019e4IBCJZlzw,2021,78,2021-10-13,0.64,0.678,0.00067,-7.486,90.058,0.701,Medium,Slow,Medium,Happy,0.475278,0.8391094909516991,Very High,Low,0.7064718981903397
5CZ40GBx1sQ9agT82CLQCT,traitor,1McMsnEElThX1knmY4oliG,2021,84,2021-05-21,0.339,0.38,0.0,-7.885,100.607,0.0849,Medium,Medium,Low,Sad,0.032262,0.8287202187215207,Very High,None,0.3857190437443041
3L1JHXiqNOJ57w3n2R3HyU,raining for hours,7htQnykNfk2Bu39bSw7owz,2021,81,2021-08-13,0.976,0.231,0.987,-27.426,96.552,0.00672,High,Slow,Low,Sad,0.00155232,0.319906262205442,Low,High,0.3789612524410884
6HU7h9RYOaPRFeh0R3UeAr,deja vu,1McMsnEElThX1knmY4oliG,2021,84,2021-05-21,0.612,0.442,5.7e-06,-7.222,180.917,0.178,Medium,Fast,Medium,Sad,0.078676,0.8459835958859524,Very High,Low,0.4992967191771904
0uRrG2jRR5tuifsYIJHEao,Sand In My Boots,4oUHIQIBe0LHzYfvXNW4QM,2021,76,2021-01-08,0.537,0.403,0.0,-6.628,69.877,0.414,Medium,Slow,Medium,Neutral,0.166842,0.8614503319880225,Very High,None,0.5309400663976045
751srcHf5tUqcEa9pRCQwP,Tek It,581C5Qwl87TskfBEzuoisu,2021,80,2021-07-20,0.913,0.423,0.0,-5.354,146.995,0.596,High,Fast,Medium,Neutral,0.252108,0.894623095951048,Very High,None,0.6830746191902096
2ZXxRC6V6AXzMdbLQZMHSB,LOT OF ME,4Ga1P7PMIsmqEZqhYZQgDo,2021,79,2021-08-27,0.537,0.704,0.0,-8.565,77.444,0.7,Medium,Slow,High,Happy,0.4927999999999999,0.811014190860565,Very High,None,0.682652838172113
