id,name,artist_id,year,popularity,release_date,energy,danceability,instrumentalness,loudness,tempo,valence,energy_category,tempo_category,danceability_category,valence_category,danceability_valence_interaction,loudness_scaled,loudness_category,instrumentalness_category,custom_score
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",7GlBOeep6PqTfFi59PTUUN,2024,96,2024-04-05,0.582,0.7,0.0,-5.96,116.712,0.785,Medium,Medium,High,Happy,0.5495,0.6692142168138311,High,None,0.6855928433627662
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,2YZyLoL8N0Wb9xBt1NhZWg,2024,96,2024-05-04,0.472,0.898,0.0,-7.001,101.061,0.214,Medium,Medium,High,Sad,0.192172,0.5919715070119463,High,None,0.5592943014023892
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,6qqNVTkY8uBg9cP3Jd7DAH,2024,100,2024-05-17,0.507,0.747,0.0608,-10.171,104.978,0.438,Medium,Medium,High,Neutral,0.327186,0.3567559545893004,Low,Low,0.5317011909178601
7221xIgOnuakPdLqT0F3nP,I Had Some Help (Feat. Morgan Wallen),246dkjvS1zLTtiykXe5h60,2024,94,2024-05-10,0.855,0.638,0.0,-4.86,127.986,0.731,High,Medium,Medium,Happy,0.466378,0.7508347555093864,Very High,None,0.7380669511018773
5N3hjp1WNayUPZrA8kJmJP,Please Please Please,74KM79TiuVKeVCqs8QtB0B,2024,97,2024-06-06,0.586,0.669,0.0,-6.073,107.071,0.579,Medium,Medium,Medium,Neutral,0.387351,0.6608295614751057,High,None,0.6241159122950212
2qSkIjg1o9h3YT9RAgYN75,Espresso,74KM79TiuVKeVCqs8QtB0B,2024,98,2024-04-12,0.76,0.701,6.54e-05,-5.478,103.969,0.69,High,Medium,High,Happy,0.4836899999999999,0.7049788528604289,High,Low,0.7137957705720858
5AJ9hqTS2wcFQCELCFRO7A,MILLION DOLLAR BABY,1WaFQSHVGZQJTbf0BdxdNo,2024,94,2024-04-26,0.697,0.852,0.00037,-5.52,138.029,0.919,Medium,Medium,High,Happy,0.782988,0.7018624322920533,High,Low,0.7999724864584106
2FQrifJ1N335Ljm3TjTVVf,A Bar Song (Tipsy),3y2cIKLjiOlp1Np37WiUdH,2024,92,2024-04-12,0.709,0.722,0.0,-4.95,81.012,0.604,High,Slow,High,Happy,0.436088,0.7441567114342955,High,None,0.6936813422868591
4ZJ4vzLQekI0WntDbanNC7,Pink Skies,40ZNYROS4zLfyyBSs2PGe2,2024,88,2024-05-24,0.488,0.525,5.14e-05,-6.909,84.999,0.253,Medium,Slow,Medium,Sad,0.132825,0.5987979520664837,High,Low,0.4625095904132967
7Fzl7QaTu47WyP9R5S5mh5,Lies Lies Lies,4oUHIQIBe0LHzYfvXNW4QM,2024,87,2024-07-05,0.702,0.486,7.54e-05,-5.758,81.053,0.382,High,Slow,Medium,Neutral,0.185652,0.684202715737924,High,Low,0.5536405431475848
5iJKGpnFfvbjZJeAtwXfCj,28,40ZNYROS4zLfyyBSs2PGe2,2024,87,2024-07-04,0.519,0.492,8.47e-05,-6.886,80.868,0.435,Medium,Slow,Medium,Neutral,0.21402,0.600504563330118,High,Low,0.5062009126660236
629DixmZGHc7ILtEntuiWE,LUNCH,6qqNVTkY8uBg9cP3Jd7DAH,2024,93,2024-05-17,0.4,0.893,0.0823,-7.981,124.987,0.945,Low,Medium,High,Happy,0.843885,0.5192550270831788,High,Low,0.7080010054166357
2tudvzsrR56uom6smgOcSf,Like That,1RyvyyTE3xzB2ZywiAwp0i,2024,89,2024-03-22,0.676,0.814,1.28e-05,-4.67,162.012,0.312,Medium,Fast,High,Neutral,0.2539679999999999,0.7649328485568005,Very High,Low,0.6441865697113601
