id,name,artist_id,year,popularity,release_date,energy,danceability,instrumentalness,loudness,tempo,valence,energy_category,tempo_category,danceability_category,valence_category,danceability_valence_interaction,loudness_scaled,loudness_category,instrumentalness_category,custom_score
0mzsLrUNazBaRfYZfjmpSV,Bebe Dame,0ys2OFYzWYB5hRDLCsBqxt,2022,71,2022-12-16,0.602,0.537,0.0,-4.631,157.437,0.753,Medium,Fast,Medium,Happy,0.404361,0.8936038247835637,Very High,None,0.6785707649567128
0wihfILRNOwE2156Shezc8,Agosto,4q3ewBCX7sLwd24euuV69X,2022,76,2022-05-06,0.584,0.849,6.18e-06,-8.195,115.018,0.724,Medium,Medium,High,Happy,0.614676,0.801498901666882,Very High,Low,0.7419997803333763
5LYMamLv12UPbemOaTPyeV,Music For a Sushi Restaurant,6KImCVD70vtIoJWnq6nGn3,2022,71,2022-05-20,0.715,0.72,0.0568,-4.652,107.041,0.357,High,Medium,High,Neutral,0.25704,0.8930611190076236,Very High,Low,0.6626122238015247
4zTSSrtsaVVjT3RZKQ1Gqn,La Mamá de la Mamá,2oQX8QiMXOyuqbcZEFsZfm,2022,73,2022-11-22,0.927,0.921,0.0033,-3.025,129.971,0.797,High,Medium,High,Happy,0.734037,0.9351078950768832,Very High,Low,0.8943215790153767
2ib8fuTavdc48X6MjhE4Ft,ZOMBIFIED,2CmaKO2zEGJ1NWpS1yfVGz,2022,68,2022-01-05,0.911,0.544,8.89e-06,-3.681,91.033,0.558,High,Slow,Medium,Neutral,0.303552,0.918154800361804,Very High,Low,0.7140809600723609
1GtIK8iINes4gNt06F60NU,Vete,5xYNmNkaWRqu3e5F4UXME8,2022,78,2022-09-30,0.708,0.626,3.04e-06,-7.097,168.162,0.883,High,Fast,Medium,Happy,0.552758,0.82987466080889,Very High,Low,0.7515249321617781
2P1oNlBGmFudn3ZyUrj7hJ,KAPITOL DENIM,5tQMB0cuNXdCtzovGt55uD,2022,66,2022-09-23,0.457,0.79,0.0,-9.59,123.926,0.783,Medium,Medium,High,Happy,0.6185700000000001,0.7654477322651505,Very High,None,0.7000895464530301
69BWKQ0qeTnPHdk4lxuLcD,Snowshoes,0wyMPXGfOuQzNR54ujR9Ix,2022,65,2022-06-24,0.551,0.409,0.0253,-9.227,90.407,0.405,Medium,Slow,Medium,Neutral,0.165645,0.774828789249257,Very High,Low,0.5166657578498515
1XX3sKKZN3DfWeFpMAc2WX,La Última Vez - Deluxe,6PH3FLQAxtqYy46Zv08bpV,2022,67,2022-12-02,0.457,0.523,0.0,-8.213,141.922,0.32,Medium,Fast,Medium,Neutral,0.16736,0.8010337252875048,Very High,None,0.511356745057501
6wTqVQ6RRkqAyT5XDGcRq4,Fuera De Servicio,0my6Pg4I28dVcZLSpAkqhv,2022,71,2022-02-25,0.445,0.778,2.05e-06,-5.178,116.973,0.969,Medium,Medium,High,Happy,0.753882,0.879467631476935,Very High,Low,0.762793526295387
19Dhj2zNpcTX2mBYrxlkax,TMW,3Z7onAknzpinUu3KtmgeZb,2022,69,2022-02-14,0.307,0.664,2.7e-06,-13.546,116.924,0.379,Low,Medium,Medium,Neutral,0.251656,0.6632123013309212,High,Low,0.5033424602661842
7GeTsDIc5ykNB6lORO6Cee,Circo Loco,3TVXtAsR1Inumwj472S9r4,2022,68,2022-11-04,0.584,0.732,0.0,-8.525,103.981,0.262,Medium,Medium,High,Sad,0.191784,0.7929706680449671,Very High,None,0.5896941336089934
4ZUpTMKPYFTfJqamWFU9Zv,IDGAF (with blackbear),1Cd373x8qzC7SNUg5IToqp,2022,70,2022-05-06,0.728,0.782,0.0,-5.93,97.975,0.876,High,Slow,High,Happy,0.685032,0.8600335960718439,Very High,None,0.8076067192143688
3PKN5j2dKkzsLbrpcdyzLX,Sentosa,12GqGscKJx3aE4t07u7eVZ,2022,70,2022-05-13,0.636,0.824,1.19e-06,-6.677,174.072,0.672,Medium,Fast,High,Happy,0.553728,0.8407287763276909,Very High,Low,0.7423457552655383
7JQavxjJS7gEB6oxhhGyJj,Russell County Line,1JWMpIl0nhqFJNdO3IOQ20,2022,64,2022-05-13,0.316,0.648,2.75e-05,-9.05,95.11,0.388,Low,Slow,Medium,Neutral,0.251424,0.779403023646466,Very High,Low,0.5262806047292932
3lzUeaCbcCDB5IXYfqWRlF,Silent Hill,2YZyLoL8N0Wb9xBt1NhZWg,2022,68,2022-05-13,0.577,0.907,3.19e-05,-6.737,140.07,0.801,Medium,Fast,High,Happy,0.726507,0.8391781883964337,Very High,Low,0.7844356376792868
5qKsIal7JJZ2bqXHPKdyVb,Hublot,5aZppZ1lCv3Y09RuunlN1a,2022,70,2022-04-22,0.672,0.824,1.97e-06,-7.679,120.538,0.797,High,Medium,High,Happy,0.656728,0.8148339578756945,Very High,Low,0.777416791575139
1Ip5p31SowqjJLo2ss1afJ,better off without me,6wlhqnATSJIc0NQ64VxOVJ,2022,70,2022-03-04,0.468,0.62,0.0,-7.492,149.855,0.646,Medium,Fast,Medium,Happy,0.40052,0.8196666235947797,Very High,None,0.628433324718956
7o7YMusB6yqUQUtz7lDVrg,"God, Turn It Around",7H0gjeKVq6IPXcAUZzzhD2,2022,67,2022-03-18,0.41,0.538,1.07e-05,-9.708,80.971,0.115,Medium,Slow,Medium,Sad,0.06187,0.7623982426670113,Very High,Low,0.4451296485334023
